page 2	LIKE Colombo, Hongkong, at the present moment, is agitated over the subject of Public Libraries. Monday's meeting in the City Hall was a good advertisement for the Hongkong Public.
page 3	THE SITUATION IN SOUTH FORMOSA.
page 3	THE 'THALES' UNDER ARREST.
page 3	A LITTLE HEALTHY EXCITEMENT IN AMOY.
page 3	THE KUCHENG MASSACRE.
page 3	THE COMMISSION COMPLETES ITS WORK.
page 3	LEADERS AND OTHER PRISONERS TO GO TO FOCHOW.
page 3	DEPARTURE OF THE 'AROHER.'
page 3	RUSSIA AND JAPAN.
page 3	A SAD WEEK AT WENCHOW.
page 3	SHIPPING ACCIDENT.
page 3	THE 'PIREBRAND' AREIVES.
page 3	THE CHRISTIAN TERSECUTION.
page 3	ACTORS IN THE EAST.
page 3	THE BRITISH ARMY.
