page 2	JAPANESE exchanges just to hand contain the details of the great catastrophe in Japan, on the North East coast, from the east of Aomori Bay downwards.
page 3	THE CHOLERA IN EGYPT --- OUT. BREAK AMONGST TROOPS.
page 3	MATABELELAND.
page 3	THE UNITED STATES --- THE DEMOCRATIC NOMINATION FOR THE PRESIDENCY.
page 3	LI HUNG CHANG IN GERMANY.
page 3	PROGRESS OF LI HUNG CHANG.
page 3	THE CATASTROPHE IN JAPAN.
page 3	THE DEATH ROLL.
page 3	THE BRITISH CONCESSION AT HANKOW.
page 3	LI HUNG CHANG.
page 3	REBELLION PIRACY AND MURDERS.
page 3	UNREFORMED CHINA.
page 3	A MISSIONARY ATTACHED AT LU CHOW.
page 3	REPORTED MURDER OF A MISSIONARY IN NORTH KIANOSU.
page 3	THE MAHOMMEDAN REBELLION.
page 5	RUSSIA AND THE NEW CHINESE NAVY.
page 5	MONEY AND MUSIC.
