page 2	THE letter recently addressed by the French Minister of Commerce and Industry to the French Chambers of Commerce may be taken as indicative of two very important facts-facts that ought not to escape the.
page 3	THE THREATENED FAMINE IN INDIA.
page 3	STRIKE OF DOCK HANDS IN GERMANY.
page 3	JAPAN AND THE PHILIPPINES.
page 3	THE UNITED STATES.
page 3	MORE TROUBLE IN COREA.
page 3	THE BUBONIC PLAGUE IN BOMBAY.
page 3	NATIVE SUPERSTITION.
page 3	A NEW PRIMARY BATTERY.
page 3	SERIOUS RAILWAY ACCIDENT.
page 3	A PROBABLE SETTLEMENT OF THE BEHRING SEA SEAL QUESTION.
page 3	SCANADIS IN THE GERMAN ARMY.
page 3	ENGLAND INCREASING HER FORCE IN AMERICAN WATERS.
page 3	DOUBLE TRAGEDY IN A COURT HOUSE.
page 3	GERMAN GOLD FOR VENEZUELA.
page 3	THE POWERS AND TURKEY.
page 3	ARMENIAN REFUGEES.
page 3	THE ARMENIAN OUTRAGES-RESULT OF A SENSATIONAL TRIAL.
page 3	ENGLAND AFTER A STATION IN MOROCCO.
page 5	THE CHINESE EMBASSY KIDNAPPING CASE.
page 5	STATEMENT BY DR CANTLIE.
page 5	DR CANTLIE'S STATEMENT.
page 5	LORD ROSEBERY AND PRINCESS VICTORIA OF WALES.
page 5	THE REASON FOR THE RETIREMENT.
