page 2	A CONCERT was given at the Lyceum Theatre, SHanghai, on the 25th June.
page 3	LOSS OF A RUSSIAN IRONCLAD.
page 3	THE JUBILEE NAVAL REVIEW.
page 3	THE TRANSVAAL AND THE JUBILEE.
page 3	THE UNITED STATES AND JAPAN.
page 3	THE JUBILEE IN ENGLAND -- AND ACCIDENT.
page 3	HOSTILE DEMONSTRATIONS IN DUBLIN.
page 3	THE FUTURE OF CRETE.
page 3	THE KING OF SIAM.
page 3	TYPHOON WARING.
page 3	THE UNITED STATES, JAPAN AND HAWAII.
page 3	JUBILEE CELEBRATIONS AT SHANGHAI.
page 5	ENGINEERING INDUSTRY IN JAPAN.
