page 2	'LIVES of Twelve Bad Women' is the title of a portly volume with a cover of sombre black sprinkled with scarlet poppies. Printed at the Gresham Press, it is, as might be expected, exteriorly perfect.
page 3	THE CAREW CASE APPEAL.
page 3	GREAT BRITAIN AND THE UNITED STATES.
page 3	TROUBLE IN CANDIA.
page 3	PRINCE ARISUGAWA IN MADRID.
page 3	THE POLICE SCANDAL.,
page 3	ABSCONDING DISTRICT WATCHMEN.
page 3	THE PHILIPPINES REBELLION.
page 3	CENTRE OF LUZON DISTRICT.
page 3	NUEVA EXCLIA PROVINCE.
page 3	THE JUBILEE RIOT IN DUBLIN.
page 3	THE SOLOMON ISLANDS.
page 3	THE CYCLONE IN PARIS.
page 3	REVOLUTIONARY MOVEMENTS IN GERMANY.
page 3	PRESENTS TO HER MAJESTY.
page 3	ROBBERY OF 50,000 POUNDS.
page 3	JUBILEE TIME IN IRELAND.
page 3	THE JUBILEE FESTIVITIES IN LONDON.
page 3	THE QUEEN AND PARLIAMENT.
page 3	THE HALLS OF COMMERCE.
page 3	AUSTRALIAN NEWSPAPER CORRESPONDENT'S VERSION.
page 5	THE OPINION AND THE FACTS.
page 5	COST OF THE ENGLISH MONARCHY.
