page 2	POLLARD'S Lilliputians are expected to open in Hongkong on the 29th inst.
page 3	ANOTHER TRAGEDY AT SHANGHAI.
page 3	SUICIDE OF A NAVAL LIEUTENANT.
page 3	DEATH OF A CHINESE MINISTER.
page 3	INDIAN LOANS.
page 3	TURKEY AND THE POWERS.
page 3	THE NORTH POLE.
page 3	THE AMERICAN TARIF.
page 3	INTERESTING FOR FREEMASONS.
page 3	CONSULAR BRAVERY.
page 3	THE PHILIPPINES REBELLION.
page 3	NEW EDICT OF CAPTAIN GENERAL.
page 3	I ORDER AND COMMAND.
page 3	FERNANDO PRIMO DE RIVERA.
page 3	SCANDALS IN PUBLIC COLONIAL DEPARTMENTS.
page 5	THE LEGAL VIEW OF MOSQUITO BITES.
page 5	THE MAYON VOLCANO IN ERUPTION.
page 5	FURTHER GRAPHIC DETAILS.
page 5	THE JUBILEE: A SILENT CELEBRATION.
page 5	AN OPEN PORT IN WINTER?
page 5	ANTICIPATING THE GREAT RAILWAY.
