page 2	ANOTHER idol of 'the gorgeous East' is shattered. Hitherto it has been regarded as one of the chief characteristics differentiating the Chinaman from the Japanese and other Orienitals that he was commercially.
page 3	RAILWAY ACCIDENT IN THE UNITED STATES.
page 3	MILITARY MOVEMENTS IN THE MEDITERRANEAN.
page 3	REM ACU TETIGISTI.
page 3	ORIENTAL POST-OFFICES.
page 3	MUSICAL NOTES.
page 3	SILLY IRISHMEN.
page 3	EAST AFRICA.
page 3	CLUE TO THE POONA TRAGEDY.
page 3	THE FRONTIER OPERATIONS.
page 3	A CARGO OF KEROSENE SAVED.
page 3	NOTES FROM THE NORTH.
page 3	THE CITY.
page 3	A NEW ARRIVAL.
page 3	OFFICIAL CHANGES.
page 3	GENERAL.
