page 2	FATHER Froc, the able Mrector of Zicawei Observatory, can stick one more feather in his cap over his comprehensive system of Storm Warnings for the Coast of North China.
page 3	TOTAL DESTRUCTION OF AMBOINA.
page 3	FIFTY PERSONS KILLED AND 200 INJUEED.
page 3	INDINA FINANCE.
page 3	THE CITY HALL.
page 3	COMMITTEE.
page 3	THE STATE OF THE BUILDING.
page 3	THE LIBRARY.
page 3	MUSEUM.
page 3	ACCOUNTS.
page 5	THE NORTH BORNEO TROUBLES.
page 5	NAVAL COURT-MARTIAL.
page 5	GOODWILL AND FRIENDSHIP TO CHINA.
page 5	A GERMAN TRISHMAN.
