page 2	ON Saturday, a court martial was hald on board H.M.S. Powerful, a ship's boy being charged with striking a superior officer, Capt. K. Hall, H.M.S. Edgar, Presided, and the other officers forming the Court were.
page 3	GREAT FIRE AT CANTON.
page 3	ONE HUNDRED HOUSES DESTROYED.
page 3	THE INQUIRY INTO THE LOSS OF THE U. S. S. MAINE.
page 3	EXCITEMENT ON THE NEW YORK BOURSE.
page 3	GREAT BRITAIN AND FRANCE IN AFRICA.
page 3	RUSSIA IN CHINA.
page 3	THE GREEK LOAN.
page 3	WEST AFRICA.
page 3	MINUTES.
page 3	THE NEW GOVERNOR.
page 3	REPORT.
page 3	PROPOSED NEW GOVERNMENT OFFICES.
