page 2	It is the frequent complaint of the residents in Hongkong that the Colony's facilities, are very limited, and that, after a time, the sameness of the views from the different roads becomes bomewhat mono.
page 3	THE REBELLION IN THE PILIPPINES.
page 3	IN ORIGINAL JURISDICTION.
page 3	FOREIGN TRADE IN CHINA.
page 3	NEW BURDENS BY THE CHINESE GOVERNMENT.
page 3	NEWS BY THE CANADIAN MAIL.
page 3	MARINE DISASTER.
page 3	A PITIFUL PIEA.
page 3	A NEW OCEAS GREYHOUND.
page 3	THE 'TIMES' ON THE DEVELOPMENTS.
page 3	THE NEW CHINESE LOAN.
