page 2	It had been expected that the declaration of the British Governments poliey in China pronmised by Mr Balfour prior to the Easter rccess would contain something amounting.
page 3	RUSSIA REFUSES MUTUAL UNDER-TAKING WITH BRITAIN.
page 3	BRITAIN TO LEASE WEI-HAI-WEI.
page 3	CHINESE WARSHIPS TO USE HARBOUR.
page 3	CHINESE OFFICERS TO BE TRAINED AT WEIHAIWEL AGTREEMENT BEDTWEEN BRITAIN AND JAPAN.
page 3	PRESENTATION FROM CLERICAL STAFF AT THE MAGISTRACY.
page 3	HONGKONG GENERAL CHAMBER OF COMMERCE.
page 3	BRITISH GUNBOAT MISSING.
page 3	THE POLITICAL SITUATION IN CHINA.
page 3	THE ANGLO-JAPANESE ALLIANCE.
page 3	CARL HERTZ, THE CONJURER.
page 3	REUTER'S TELEGRAMS.
page 3	GREAT BRITAIN AND CHINA.
page 3	THE OPENING OF CHINA.
page 3	RUSSIA AND TURKEY.
page 3	SPAIN AND THE UNITED STATES.
page 3	THE CRISIS.
page 3	MR. BALFOUR'S STATEMENT IN THE HOUSE OF COMMOS.
page 3	THE NEW TREATY PORTS THE OPENING OF INLAND WATER-WAYS CONFIRMED.
