page 2	THE changes in our share list today are Hongkong and Shaughai Banks, 188% prem-8300 sales and buyers; Wharf and Godowns, $55 bayors; Jelebus, $2.75 buyers.
page 3	GROMMET FIRE AT SHAHS.
page 3	OUTRAGE OF LIKING OFFICIALS.
page 3	BRITISH CONSULATED MOVE AWAY.
page 3	RIOTS IN ITALY.
page 3	CHINA AND JAPAN-FINAL PAYMENT OF THE INDEMNITY.
page 3	MURDER AT WEST TERRACE.
page 3	A PORTUGUESE CLERK SHOT.
page 3	THE 'CHINA.'
page 3	THE PLAGUE.
page 3	SOUTH AFRICAN AFFAIRS.
page 3	THE N. W. FRONTIER.
page 3	MR. GLADSTDNS.
page 3	THE OUTBREAK OF PLAGUE AT CALCUTTA.
page 3	ARREST FOR SEDITION AT AOBA.
page 3	BOMBAY'S DAILY DEATH-ROLL.
page 3	SAVING THE P. & O. 'CHINA'.
page 3	MR. BALFOUR'S STATEMENT.
page 3	THE SCENE IN THE HOUSE.
