page 2	WE PUBLISH ON THE 5TH PAGE THE JAPAN MAIL'S TRANSLATION OF THE LATOST CONVENTION BETWEEN RUSSIA AND CHINA: THE GIVING RUSSIA PORT ARTHUR AND TALIENWAN. NOT WITHSTANDING COUNT MURAVIELF'S STATEMENT.
page 3	THE NAVAL ENGAGEMENT IN CAVITE BAY.
page 3	THE SINKING OF THE REINA CRISTINA.
page 3	'SCUTTLE AND ABANDON'.
page 3	THE BOMBARDMENT OF CAVITE 'WELL DONE, CONCORD.'
page 3	THE MAINE DISASTER TERRIBLY AVENGED.
page 3	THE FIGHT DESCRIBED FROM THE AMERCIAN FLAGSHIP.
page 3	HOW THE SHIPS ENTERED MANILA BAY.
page 3	THE SCENE ON BOARD THE OLYMPIA.
page 3	CHAFFING THE NERVOUS ONES.
page 3	A TROPHY OF THE FIGHT.
page 3	BLACK FLAG DISTURBANCE ON THE WEST RIVER.
page 3	EXCITING SCENES.
page 3	FROM THE BALTION TO THE BLACK SEA.
page 3	ILINESS OF MR. CURZON.
page 3	DEATH OF VISCOUNT OXENBRIDGE.
page 3	THE BENNERTZ CASE SETTLED.
