page 2	AT last, after much travail of soul and perturbation of mind, the long deferred extension of Honkong is an accomplished fact Strangely enough, althought this is a matter of immediate public interest, the officials of the Colony.
page 3	THE EXTENSION OF HONGKONG.
page 3	NEW CONVENTION SIGNED AT PEKING.
page 3	MR. ERNEST HOLLY, BANKRUPT.
page 3	THE STATE OF THE PHILIPPINES.
page 3	THE SPANISH-AMERICAN WAR.
page 3	THE QUEEN'S JUBILEE.
page 3	INTERESTING CORRESPONDENCE.
page 3	AMMO ARSENAL.
page 3	RUSSIA IN THE FAR EAST.
page 3	THE WORLD'S GREATEST CHEQUES.
page 3	PLAGUE PRECAUTIONS IN COLOMBO.
page 3	THE FIRST TO BE INOCULATED.
