page 2	IT is now two years and a half since the railway to Tientsin was opened, and the experience accumulating during all this time proves that the Chinese would find it almost impossible now to get on without it.
page 3	The Revenue of Tonkin.
page 3	Yachting.
page 3	Masonic.
page 3	Missionary Notes.
page 3	The Year's Rainfall.
page 3	The French at Kwongchau-wan.
page 3	Death of Mr F. N. Firth.
page 3	Museum.
page 3	THE INVASION OF CAPE COLONY.
page 3	HEAVY ENGAGEMENT NEAR STORMBERG.
page 3	GENERAL GATACRE OUT MANCEUYRED.
page 3	THE RELIEF OF LADYSMITH.
page 3	THE TUGELA RIVER CROSSED.
page 3	GENERAL BULLER'S PREPARATIONS TO ADVANCE.
page 3	NEWS OF A DESPERATE BATTLE EXPECTED.
page 3	THE REVERSE IN CAPE COLONY.
page 3	INDIGNATION IN ENGLAND ANOTHER BRITISH FORCE CAPTURED.
page 3	THE OPERATIONS AT MODDER RIVER.
page 3	BRITISH DEFICIENT IN CAVALRY.
page 3	THE WAR --- CAPE COLONY.
page 3	BECHUANALAND.
page 3	NATAL.
page 3	THE WAR.
page 3	ANTI MISSIONARY DISTURB ANCES AT YOCHOW.
page 3	THE LONDON MISSION SAFE.
