page 2	The following Order by Her Majesty the Queen in Council is published for general information, says Hongkong Government.
page 3	THE ADVANCE ON LADYSMITH.
page 3	BOERS RETIRE.
page 3	GENERAL BULLER OCCUPIES COLENSO.
page 3	THE WAR --- CAPE COLONY.
page 3	NATAL.
page 3	Pathetic Messages from Ladysmith.
page 3	Important Action by the Commander-in-Chief.
page 3	British Strategy Scorned.
page 3	Miscellaneous.
page 5	THE REGIMENTAL TERRITORIAL NOMENELATURE.
page 5	A SENSIBLE WARNING FROM INDIA.
page 5	The World's Shipbuilding.
page 5	A Story of the War.
page 5	A brilliant derangement of metaphers was perpetrated in the Times last month by.
