page 3	The French Premier on his Erratic Colleague.
page 4	Another Dock at Kobe.
page 4	The Rev G. J. Williams.
page 4	Hockey.
page 4	Athletic Sports.
page 4	The Plague.
page 4	Absconding Workmen.
page 4	Kang Yu-wei.
page 4	Memorial by the late T'o Mu.
page 4	United States Asiatic Steamers.
page 4	Hongkong Boat Club.
page 4	St. Andrew's Ball.
page 4	Volunteer Camp.
page 4	Hon. R. G. Shewan.
page 4	Fire on German Steamer.
page 4	Stowaways.
page 4	Outrageous Provisions.
page 4	Give it a Name.
page 4	Storm Warnings.
page 4	West River Traffic.
page 4	THE EDUCATION BILL.
page 4	THE MACEDONIAN INSURRECTION.
page 4	COMMITTAL OF AN EX-M.P.
page 4	A NIGERIAN MURDER.
page 4	THE COAL STRIKE IN FRANCE.
page 4	THE COAL STRIKE IN AMERICA.
page 4	COLLISION IN THE CHANNEL.
page 4	THE COAL-MINERS' STRIKE.
page 4	Suffering in Canada.
page 4	THE COAL-MINERS' STRIKE IN FRANCE.
page 4	ANOTHER IRISH M.P. INPRISONED.
page 4	A NEW ATLANTIC SERVICE.
page 4	THE EDUCATION BILL.
page 4	SOMALILAND. -- OPERATIONS RENEWED.
page 4	THE STRIKE OF FRENCH COAL-MINERS.
page 4	ROBERTS AND KITCHENER AT LIVERPOOL.
page 4	GORDON'S STATUE SUNK IN THE THAMES.
page 4	SHIPPING SUBSIDIES.
