page 3	AN AMERICAN LADY AND THE FORMOSAN HEAD HUNTERS.
page 4	VIOLATING THE TREATY OF BERLIN.
page 4	NARROW ESCAPE OF THE CAPTAIN SUPERINTENDANT OF POLICE.
page 4	DISCOVERY OF A NEW COMET.
page 4	AUSTRALIAN DEFENCE.
page 4	SOCIAL AND PERSONAL.
page 4	RETIREMENT OF ADMIRAL EMERY.
page 4	Flag to be Lowered at Hongkong.
page 4	CRETANS PROCLAIM UNION WITH GREECE.
page 4	GOVERNOR OF HUNAN.
page 4	TO BE DISMISSED.
page 4	IMPERIAL CHINESE BANK.
page 4	BRANCHES TO BE ESTABLISHED IN VARIOUS PARTS OF THE WORLD.
page 4	OFFICIAL POSITIONS.
page 4	VICEROY TUN FANG ADOPTS THE NEW SYSTEM.
page 5	THE BALKANS.
page 5	SERVIAN INDIGNATION TO WARDS AUSTRIA.
page 5	EMPRESS DOWAGER'S BIRTHDAY.
page 5	TO BE FITTINGLY CELEBRATED.
page 5	THE SALT TAX.
page 5	SALT COMPTROLLER APPOINTED.
page 5	BULGARIA AND TURKEY.
page 5	THE EUROPEAN SITUATION.
page 5	THE CHENGTU HOSPITAL STUDENTS.
