page 2	The dawn of the China New Year was happily unattended this season by the harassing drizzle which has come night to being a by word for this annual epoch, and though cheerless and dull, the weather.
page 3	KULANGSU MUNICIPAL COUNCIL.
page 3	BRITISH CONCESSION.
page 3	MATTERS ATHLETIC.
page 3	THE CHINESE NEW YEAR.
page 4	OCEAN PASSENGER OBATS.
page 4	BILL TO MAKE WIRELESS TELEGRAPHY COMPULSORY.
page 4	THE PORTE AND BULGARIA.
page 4	"ASSUMING GRAVE RESPONSIBILITY."
page 4	CALIFORNIAN ANTI-JAPANESE BILLS.
page 4	MEASURES POSTPONED.
page 4	THE KAISER'S BIRTHDAY.
page 4	IN CASE OF WAR.
page 4	INQUIRY INTO U.S. A. NAVAL ORGANISATION.
page 4	ALEXANDRA CINEMATOGRAPH.
page 5	EIGHT CHARGES AGAINST CHAN PIK.
page 5	HIS SUCCESSOR NAMED.
page 5	LATE VICEROY OF CANTON.
page 5	CHINA'S CONSTITUTION.
page 5	OPPONENTS TO BE SEVERELY DEALT WITH.
page 7	AUSTRALIA AND THE TRAFFIC IN STOWAWAYS.
page 7	THE PROPOSED CHINESE UNIVERSITY.
