page 2	There has been a bad leakage somewhere in regard to the Straits Settiements Opium report.
page 4	TERRIBLE EARTHQUAKE IN PERSIA.
page 4	SIX THOUSAND LIVES LOST.
page 4	DEATH OF RUSSIAN GRAND-DUKE.
page 4	TANGLED ACCOUNTS.
page 4	HANKOW-CANTON RAILWAY.
page 4	A MISSION OF ENQUIRY.
page 4	THE BERLIN OUTRAGES.
page 4	CITIZENS GUARD FORMED.
page 4	AWFUL COLLIERY EXPLOSION.
page 4	136 MINERS ENTOMBED.
page 4	NEW DESTROYER'S TRIALS.
page 4	THE DISPOSITION OF THE AMERICAN NAVY.
page 4	HALF FOR PACIFIC WATERS.
page 4	TANG SHAO-YI IN PARIS.
