page 2	CHINA INLAND MISSION.
page 3	LITERARY GIFTS OF LORD ROSEBERY.
page 3	PUZZIES FOR CUSTOMS MEN.
page 4	THE GERMAN SEARCH FOR REVENUE.
page 4	DEATH OF A HONGKONG RESIDENT.
page 4	ASCENSION DAY AT THE R. C. CATHEDRAL.
page 4	THE BUDGET.
page 4	COMMONS APPROVE INCREASED STAMP DUTIES.
page 4	PARIS STRIKE TROUBLES.
page 4	THE MACAO BOUNDARY.
page 4	DDPARTURE OF PORTUGUESE COMMISSIONERS.
page 4	VANCOUVER WELCOMES JAPANESE CRUISERS.
page 5	SHANGHAI TAOTAI DENOUCED.
page 5	PROGRESSIVE PROVINCES.
page 5	SHINESE MILITARY AGE LIMIT.
page 5	CHINA MEECHANTS S. N. CO.
page 5	FOREIGN MISSIONARIES IN CHINA.
page 5	BEACON HILL TUNNEL.
page 5	MOTTION FOR LEAVE TO APPEAL.
page 5	ALLEGED BANK ROBBERY.
page 5	ENGLAND MORE SOBER.
