page 1	"THE MERCHANT OF VENICE."
page 4	CHANG CHIH-TUNG AND A WESTERN UNIVERSITY.
page 4	THE POSTPONED PUBLIC HOLIDAY.
page 4	THE ILLINOIS COLLIERY DISASTER.
page 4	ANARCHY IN ARGENTINE.
page 4	POLICE PREFECT'S SECRETARY KILLED.
page 4	RUSSO JAPANESE AFFAIRS.
page 4	AN AMBA SADOL'S MOVEMENTS.
page 4	KING MANUEL IN ENGLAND.
page 4	THE SOCIETY OF ST. VINCENT DE PAUL.
page 4	TURKISH AFFAIRS.
page 4	PARLIAMENT OPENED BY THE SULTAN.
page 4	THE MACAO BOUNDARY.
page 4	STAMP DUTIES POSTPONED.
page 4	PROHIBITING OPIUM.
page 4	CONCERT AT THE DRILL HALL.
