page 1	HONGKONG UNIVERSITY.
page 4	THE DEGRADATION OF TUAN FANG.
page 4	SOCIAL AND PERSONAL.
page 4	ALLEGED FORGERY OF A WILL.
page 4	Bail Refused.
page 4	BRISGAVIA ASHORE.
page 4	UNSUCCESSFUL ATTEMPTS TO REFLOAT.
page 4	KING'S BIRTHDAY CELEBRATIONS AT SWATOW.
page 4	A SERVICE FOR SEAFARERS.
page 4	MASONIC JEWELS IN COURT.
page 4	THE BATTLE OF THE BUDGET.
page 4	LORDS RESUME DEBATE.
page 4	OPENING OF REICHSTAG.
page 4	CHINESE NAVAL COMMISSION.
page 4	A VISIT TO DEVONPORT.
page 4	CONSECRATION OF MIS SIONARY BISHOPS.
page 4	NOTABLE EVENT ON ST. ANDREW'S DAY.
page 4	A RUSSIAN DEMAND.
page 4	MANCHURIAN AFFAIRS.
page 4	THE SITUATION TRAINED.
page 5	BUDGET REJECTED.
page 5	LORD LANSDOWNE'S NOTION CARRIED.
