page 2	AMUSING LETTER BY A JAPANESE.
page 4	CHINA AND JAPAN.
page 4	MISSING SOVEREIGNS.
page 4	COOK'S ALLEGED THEFT.
page 4	GIRL HAWKERS A NUISANCE.
page 4	BABY IN A BASKET.
page 4	CHINESE REVENUE OFFICER IN THE DOCK.
page 4	CHRISTMAS AND NEW YEAR HOLIDAYS.
page 4	ITALIAN CONVENT SCHOOL.
page 4	MANAGER'S REPORT FOR THE SCHOOL YEAR 1915-1916.
page 4	PRIZE LIST.
page 4	S.S. "KAIHO MARU."
page 4	LATEST NEWS OF THE WRECK.
page 4	BOATS UNABLE TO REACH THE STEAMER.
page 5	PRESIDENT WILSON AND PEACE.
page 5	"UNITED STATES DRAWN TO VERGE OF WAR."
page 5	SENSATIONAL SLUMP IN U.S. WAR STOCKS.
page 5	SIR JOHN SIMON AND THE PEACE OFFER.
page 5	RENEWED ACTIVITY IN MESOPOTAMIA.
page 5	HONOURS LIST.
page 5	VISCOUNTIES.
page 5	BARONIES.
page 5	PRIVY COUNCILLORS.
page 5	BARONETCIES.
page 5	KNIGHTHOODS.
page 5	K.C.B.
page 5	C.B.
page 5	C.M.G.
page 5	GERMAN SUBMARINE SUNK.
page 5	FRENCH BATTLESHIP IN COLLISION.
page 5	THE AUSTRIAN POLITICAL SITUATION.
page 5	NEWSPAPER HOLIDAYS IN ENGLAND.
page 5	THE IRISH RESELLION.
page 5	ALL UNTRIED PRISONERS TO BE RELEASED.
page 5	THE ARMING OF MERCHANT VESSELS.
page 5	STATEMENT BY THE NEW FIRST LORD.
page 5	A BRITISH AIR MINISTRY.
page 5	THE BRITISH FLYING CORPS.
page 5	LEPORT OF THE COMMITTEE OF INQUIRY.
page 5	FRENCH GOVERNMENT BILL REJECTED.
page 5	RUMANIAN MINISTERIAL CRISIS.
page 5	CABINET WITHDRAW RESIGNATIONS.
page 5	RUMANIANS RESUME RESISTANCE.
page 5	A GERMAN REPORT.
page 5	THE MACEDONIAN FRONT.
page 5	GERMAN CAPTURE OF FOOD IN RUMANIA.
page 5	GERMAN AND BRITISH PRISONERS.
page 5	QUESTIONS IN THE COMMONS.
page 5	SUBMARINE PIRACY.
page 5	ANOTHER BRITISH CAPTAIN MADE PRISONER.
page 5	THE LOST FRENCH BATTLESHIP.
page 5	GERMAN CLAIM THAT SHE WAS SUNK BY TORPEDO.
page 5	FALSE GERMAN REPORT.
page 5	CONTRADICTION BY THE BRITISH ADMIRALTY.
page 5	"KISMET."
page 5	ANOTHER PERFORMANCE.
page 5	S.S. "PHEUMPENH" OVERDUE.
page 5	12 DAYS OUT FROM SAIGON.
page 5	WHERE EAST MEET WEST.
page 5	CIVILISATIONS MEET IN CENTRAL ASIA.
page 5	LECTURE BY CAPT. PELLIOT.
page 5	THE WESTERN FRONT.
page 5	GERMAN GAS APPARATUS DESTROYED.
page 5	RAIDING OPERATIONS ON BRITISH FRONT.
page 7	4,000 AUTOS ON ROAD TO VERDUN.
page 7	HOW A FRENCH GENIUS SOLVED A TRANSPORT PROBLEM.
page 7	"AN EPIC OF ORGANISATION."
page 7	4,000 AUTOMOBILE.
page 7	HOW REPAIRS WERE DONE.
page 7	THREE MONTHS EFFORT.
page 7	NEED FOR NATIONAL TARIFF.
page 7	QUESTION RAISED BY THE SUBJECT OF A MINIMUM WAGE.
page 7	PROFIT FOR SMUGGLERS.
page 7	ONE THOUSAND PER CENT MADE ON FLOUR.
