page 2	WE are far from agreeing with our correspondent "Protection," whose communication we have delayed to insert in the hope of having time to peruse carefully the report of the trial of the men of the 99th for riot. 
page 3	THE PEACE PROBLEM.
page 3	Sir Hercules Robinson.
page 4	A Parisian Cafe.
page 4	Paris Fashions.
page 4	Wanges and Prices in Europe.
page 4	Terrible Scene in an Italian Court.
page 4	A Spartan Marriage.
page 4	Don's Snub Him.
page 4	Female Printers.
page 4	Which is Right?
page 4	Mr Nasby Show that a war Platform Won't Do for the Democracy.
page 4	A Sad Story.
