page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 6	AFRICAN BOUNDARIES.
page 6	SEVERE GALE AT SCARBOROUGH.
page 6	SINGNOR CRISPI'S SPEECH.
page 6	THE ARRESTED IRISH M. 'S.
page 6	THE ELECTIONS IN NATAL.
page 6	GREAT BRITAIN AND ITALY.
page 6	THE COUNTESS OF ROSEBERY.
page 6	THE VICTORIA REGATTA.
page 6	THE COTTON TRADE.
page 6	MAHOMET ON THE STAGE.
page 6	CAVALRY EQUIPMENT.
page 6	ILLNESS OF MR. RUDYARD KIPLING.
page 6	GLOVE FIGHT IN ENGLAND.
page 6	MR. MORLEY AND THE RIOTS AT TIPPERARY.
page 6	MENDACIOUS APPEAL FOR MONEY.
page 6	THE TIPPERARY CASE.
page 6	PARNELLITE CONFERENCE.
page 6	THE CHOLERA.
page 6	THE KAISER IN AUSTRIA.
page 6	THE MINISTERIAL CRISIS IN PORTUGAI.
page 6	THE IMPORTATION OF GUNS AND POWDER INTO AFRICA.
page 6	AMERICAN MANUFACTURERS AND THE TARIFF.
page 6	NEW COMMANDANT FOR CANADA.
page 6	THE CANADIAN MURDERS.
page 6	CANADA AND THE STATES.
page 7	ARRIVAL OF THE CHINESE AMBAN AT LHASSA.
page 7	THE DISTURBANCE AT GOA.
page 7	THE GOLD BOOM AT CALCUITA.
page 7	THE CESSION OF THE ZANZIBAR COAST LINE TO GERMANY.
page 7	THE PIECR GOODS TRADE IN INDIA.
page 7	THE AMIR AND THE BRITISH.
