page 3	UNIVER ITY OF HONGKONG.
page 4	UNIVERSITY OF HONGKONG.
page 4	THE BATTBE OF KOREGAUM.
page 4	BOMBAY GRENADIERS CELEBRATION.
page 4	KWANGTUNG WARFARE.
page 4	REPORTED PEACE NEGOTIATIONS.
page 4	JUNIOR DOCAL EXAMINATION.
page 6	OBITUARY.
page 6	MR. H.E.R. HUNTER.
page 6	STABBING AFFRAY ON THE TENYO MARU.
page 6	FAR EASTERN CABLE NEWS.
page 6	CHINA'S PARLIAMENT NEW ELECTION.
page 6	JAPAN'S NEW PREMIER.
page 6	THE SINGAPORE BASE.
page 6	SIR PELHAM WARREN'S ESTATE.
page 6	EQRTHQUAEE SHOCKS IN MANILA.
page 7	NEW YEAR IN EUROPE AND AMERICA.
page 7	"THE DAWN OF DEFINITE PEACE".
page 7	FRENCH PRESIDENT'S GREETING.
page 7	REMARKABLE BROADCASTING DEVELOPMENTS.
page 7	NEW YIAR HONOURS.
page 7	THE NEW VEAR.
page 7	CELEBEATIONS IN EUROPE AND AMERICA.
page 7	NEW YEAR WELCOMED WITH WORDS OF HIGH PROMISE.
page 7	U.S. PRESIDENT SHAKES HANDS FOR FIVE HOURS.
page 7	COMMUNISTS QUARREL.
page 7	A STRUGGLE FOR SUBEMACY.
page 7	WHOLESALE ARRESTS.
page 7	FRENCH POLITICS.
page 7	SIGNIFICANT REBUFF FOR MR. POINCARE.
page 7	LONDON CLEARING HOUSE BUSINESS.
page 7	THE NATIONAL REVENUE.
page 7	BIG CANADIAN BANK MERGER.
page 7	THIRD WITHIN THE YEAR.
page 7	SIR A. GEDDES AND SIR R. HORNE.
page 7	LEAVE FOR NEW YORK.
page 7	"DAWN OF DEFINITE PEACE."
page 7	ANOTHER BROADCASTING FEAT.
page 7	INDIAN NATIONAL CONGRESS.
page 7	SOME AMBITIOUS SCHEMES.
page 7	FRENCH COLONIAL POLICY.
page 7	COTTON AND WOOL PRODUCTION.
page 7	HEAVY SNOWFALL IN SWITZERLAND.
page 7	KING OF SIAM'S BIRTHDAY.
page 7	HOLLAND STILL WITHOUT OUT A CABINET.
page 7	BRITISH INTERESTS IN BRAZIL.
page 7	OBITUARY.
page 7	REV. S. BARING GOULD.
page 7	FATAL INDIAN DISTURBANCE.
page 7	FRANCE AND THE LITTLE ENTENTE.
page 7	BRITISH AND ITALIAN DIPLOMATIC CIRCLES PERTURBED.
page 7	COMMUNISM IN RUSSIA ENDED?
page 7	REVERTING TO CAPITALISM.
page 7	THE WORLD OF SPORT.
page 7	FRANCE BEATS SCOTLAND AT INTERNATIONAL RUGBY.
page 7	AUSTRALIAN CRICKET.
page 7	MONDAY'S "SOCCER" MATCHES.
page 7	DUNLOP RUBBER COMPANY'S AFFAIRS.
page 7	WRITS AGAINST DIRECTORS.
page 7	PROJECTED TINPLATE COMBINE.
page 7	WIRELESS DEVELOPMENT.
page 7	LONDON SYMPHONY CONCERTS HEARD IN SOUTH AFRICA.
page 7	THE CONDITION OF IRELAND.
page 7	HOPE AND CONFIDENCE.
page 7	PAKAPU BECOMING POPULAR IN ENGLAND.
page 7	LIVERPOOL POLICE RAID CHINESE HOUSE.
page 7	FRANCE TO REDUCE RUHR ARMY.
page 7	WIRELESS ON TRAINS.
page 7	THE IMPERIAL CONFERENCE.
page 7	BRITAIN'S REVENUE.
page 7	BIG DEFICIT.
page 7	CANDIAN AMERICAN COPY RIGHT AGREEMENT.
page 7	DEATH OF NOTED BOXER.
page 7	AMERICA AND MEXICO.
page 7	U.S. SALE OF FARMS.
page 7	LIVELY DISCUSSIONS EXPECTED.
page 7	ROAD-MAKING SCIENCE.
page 7	SCHEME TO ESTABLISH CHAIR AT UNIVERSITY.
page 9	SIGNOR MUSSOLINI.
page 9	"LET GERMANY LIVE" DECLARATION.
