page 4	TYPEWRITTING IN THE AIR.
page 6	NOTED INDIAN POET.
page 6	TWO-MINUTE TALKS.
page 6	OLD ESTABLISHED.
page 6	"THE SILVER WOLF."
page 6	STRIKING PRODUCTION BY THE BOY SCOUTS.
page 6	COUNTY CRICKT.
page 6	DIPPER'S DOUBLE CENTURY.
page 6	RUSSLA AND CHINA.
page 6	BRITAIN NOT INTIMIDATED.
page 6	WATERLOO BRIDGE.
page 6	WOMAN ANALYSES 20,000 CANCER CASES.
page 7	KNIGHTS OF THE AIR.
page 7	More Strikes.
page 7	Piracy Prevevention.
page 7	"MAIN STREET."
page 7	SINCLAIR LEWIS NOVEL PICTURISED.
page 7	DAY BY DAY.
page 7	THE MOULDERS.
page 7	A STRIKE FAVOURED.
page 7	CANTON NEWS ITEMS.
page 7	U.S. PRESIDENCY.
page 7	DEMOCRATS STILL UNDECIDED ON CANDIDATE.
page 7	LATER BALLOTS.
page 7	GERMANY'S REPBY.
page 7	SECRET ARMING AGAIN REPUDIATED.
page 7	THE OUIO DISASTER.
page 7	SUDAN QUESTION.
page 7	HERTZOG'S CABINET.
page 7	POSTS FOR LABOURITES.
page 7	SIDELINES OF SW ARAJ.
page 7	HOMAGE TO MURDERER REJECTED.
page 7	U.S. OIL SCANDAL.
page 7	INDICTMENTS AGAINST ACCUSED.
page 7	POWER CONFERENCE.
page 7	OPENED AT WEMBLEY.
page 7	THA DUTIES.
page 7	FOREIGN PREE ERENCE IMPOSSIBLE.
page 10	EMPIRE EXHIBITION.
page 10	SIR ROBERT HO TUNG'S GENEROSITY.
page 10	RUBBER AND SCHOOLS.
page 10	SINGAPORE COUNCIL PRESSED BY MEMBERS.
page 10	SEQUEL TO COLLISION.
page 10	GARAGE BUS COMPANY SUED.
page 11	EARLIER TELEGRAMS.
page 11	ALLIED CONTROL IN GERMANY.
page 11	PRESIDENTIAL NOMINATION.
page 11	CANADIAN POSTAL STRIKE ENDS.
page 11	BASEBALL.
page 11	CROWN LAND SALE.
page 11	WOMAN'S CALLING.
page 12	BRITISH FLIERS ARRIVE.
page 12	BAD WEATHIER ON NEARING HONGKONG.
page 12	LEAVING TO-MORROW AT DAWN.
page 12	MAY REACH SHANGHAI TO-MORROW.
page 12	DEVILS IN NEW TERRITORIES.
page 12	TRUE STORY OF WOMAN'S STRANGE REPORT.
page 12	A GOOD SLEEP.
page 12	LEAVING AT DAWN.
page 12	THE SHAMEEN.
page 12	NEW REGULATIONS.
page 12	POLICE PERMITS.
page 12	TRAFFIC REGULATIONS.
page 12	SHAMEEN DEFENCE.
page 12	MORE CHINESE POLICE.
page 12	TEST MATCH RECORD.
page 12	HOBBS SCORES DOUBLE CENTURY.
page 12	TWO OTHER CENTURIES ENGLAND'S BIG SCORE.
page 12	THRILLS AT WIMBLEDON.
page 12	MLLE LENGLEN NEARLY DEFEATED.
page 12	OTHER RESULTS.
page 12	ANOTHER GOVERNMENT DEFEAT.
page 12	THE SEVENTH SINOE TAKING OFFICE.
