page 6	THE RECORD OF THE YEAR.
page 7	A HAPPY AND PROSPEROUS NEW YEAR.
page 8	THE NORTHERN CRISIS.
page 9	THE TIBETAN QUESTION.
page 9	BRITISH ENTERPRISE IN CHINA.
page 11	PORTUGUESE MINISTER IN HONGKONG.
page 11	AL FRESCO FETE IN MACAO.
page 11	BRUTAL CRUELTY TO ANIMALS.
page 11	SEAMEN'S MISSION, HONGKONG.
page 12	MASONIC AFFAIRS.
page 12	ZETLAND LODGE.
page 12	NOTES FROM THE NEW TERRITORY.
page 12	XMAS AND TH EWEATHER.
page 12	SUGAR CANE.
page 12	CULTIVATION.
page 13	CUSTOMS.
page 13	BUILDING ACTIVITY AT CANTON.
page 13	SUN AGAIN.
page 13	THE EX-NAMHOI.
page 13	AGAINST THIEVING.
page 16	IN PRISON AT PORT ARTHUR.
page 16	ADVENTURES OF THREE JAPANESE.
