page 2	RAILWAYS AND POLITICS.
page 3	THEORY AND PRACTICE IN CHINA AND OTHERWHERE.
page 4	THE TSAR COUNSELS CHINA.
page 4	MISSIONARY SQUABBLES IN CHINA.
page 10	THE RECENT FIRE.
page 10	PIRACY ON THE RIVER.
page 10	THE TWO VICEROYS.
page 10	PROPOSED WATERWORKS.
page 10	"RIO LIMA" AGAIN.
page 10	THE PROPOSED KEW TAXES.
page 12	GERMAN AND JAPANESE AT SHANGHAI.
page 12	TO THE EDITOR OF THE "DAILY PRESS."
page 12	FOREIGNER ATTACKED AT WOOSUNG.
page 12	CHINESE RIOTS AT SINGAPORE.
page 12	FIGRCE FIGHTING, POLICE ARMED, A HARBOUR WORK IMPEDED.
page 12	THE SIKH TROUBLE AT SHANGHAI.
page 12	REMOVAL OF RINGLEADERS URGED.
page 12	JAPANESE SHIPBUILDING TRIUMPH.
page 13	BRITISH INTERESTS AT NEW CHWANG.
page 13	REMGDELLING OF THE GRAND COUNCIL.
