page 2	WESTERM TIBET: A REVIEW.
page 3	PEKING SUSPECT.
page 3	THE T'IEN TSUS HUI.
page 3	MORAL GARLIC.
page 5	HONGKONG SANITARY BOARD.
page 5	MORE CATTLE INFECTED.
page 10	FATALITIES IN GAMBLING RAIDS.
page 10	INDIANS AGAIN IN EVIDENCE.
page 10	ANOTHER ROBBERY AT KOWLOON.
page 10	ANOTHER ATTEMPTED SUICIDE.
page 11	FAREWELL DINNER TO MAJOR PRITCHARD.
page 11	NEW VOLUNTEER HEAD QUARTERS.
page 11	OPENING FESTIVITIES.
page 11	ENGINEERS' DANCE.
page 12	THE GOVERNOR'S DEPARTURE.
page 12	THE KOWLOON DOCK TRAGEDY.
page 12	SHIP LAUNCH AT KOWLOON.
page 12	NEW SUBBIDIZED STKAMER.
page 12	A TENTATIVE SUICIDE.
page 12	CORRKSPONDENCE.
page 12	THE CENSUS RETURNS.
page 12	TO THE EDITOR OF THE "DAILY PRESS."
page 12	HIS EXCELLENCY'S NEW TITLE.
