page 1	THE BORNEO EXPEDITION.
page 2	THE ARCHBISHOP AND THE DECEASED WIFE'S SISTER BILL.
page 2	IRISH AFFAIRS.
page 2	THE HONGKONG FISHING INDUSTRY.
page 3	KEIR HARDIE.
page 3	THE GOVERNMENT AND THE SANITARY BOARD.
page 4	HONGKONG SANITARY BOARD.
page 4	DRAFT ESTIMATES.
page 5	ANO HER COMPROMISE.
page 5	WATER TANK.
page 5	MORTALITY STATISTICS.
page 6	HONGKONG HOTEL COLLAPSE.
page 6	INQUIRY REGARDING THE DEATHS.
page 6	KEIR HARDIE IN HONGKONG.
page 7	A DIVER'S DEATH.
page 7	MACAO.
page 7	THE TAXATION QUESTION.
page 7	"ONCE FOR ALL."
page 8	MORRISON CENTENARY MEETING.
page 9	CHINESE JOSS PIDJIN.
page 9	FRIGHTENING AWAY THE CHOLERA DEMONS.
page 10	SHARE REPORTS.
