page 1	TREATY COMMEMORATION.
page 2	CHINA AND JAPAN.
page 2	SUPERSTITION.
page 2	UNWIELDY EMPIRES.
page 3	LOCAL MURDER TRIALS.
page 3	THE PEKING APPOINTMENTS.
page 4	CHINESE SQUEEZE WITH SOME DIGRESSIONS.
page 5	MISSIONARIES.
page 5	CALFORNIANS AND JAPANESE.
page 6	POLITICA OFFENDERS AND EXTRADITION.
page 7	MORRISON CENTENARY MEETING.
page 7	A MEMORABLE ASSEMBLY.
page 7	SPEECH BY THE GOVERNOR.
page 10	THE DES VCEUX ROAD MURDER.
page 10	ONE MAN EXECUTED.
page 10	ADSETTS.
page 11	HONGKONG HOTEL COLLAPSE.
page 11	INQUIRY REGARDING THE DEATHS.
page 12	SMUGGLING ARMS.
page 13	FRENCH STREET MURDER.
page 13	THE DUMB BELL ISLAND MURDER.
page 13	THE STORM.
page 14	THE HARBOUR STABBING AFFRAY.
page 16	CANTON.
page 16	INVITING DISASTER.
page 16	SHUM'S TOUTS.
page 16	DEATHS DUE TO REFORM.
page 16	A NEW DOCTOR.
page 16	MACAO.
page 16	THE DECLINE OF THE COLONY.
page 16	SNIPE-SHOOTING.
page 16	A ROYAL BIRTHDAY BALL.
page 16	THEFT FROM LAPPA CUSTOMS.
page 16	ANARCHISTS ON A WARSHIP.
page 16	THE LATE MR. CHARLES GRANT.
page 16	THE LATE MR. S. H. SHORROCK SHANGHAI.
page 17	JAPAN.
page 17	THE SEASONS.
page 17	HAVOC BY THE FLOOD.
page 17	A RAILWAY BREAKDOWN.
page 17	A NEW LABOUR PROBLEM.
page 17	RUSSIAN SPIES.
page 17	TROUBLE IN THE CANTON HINTERLAND.
page 17	BATTLE WITH REBELS IMMINENT.
page 18	MISCELLANEOUS IMPORTS.
page 18	SHARE REPORTS.
