page 2	社評新劃期的太平洋
page 3	我軍克復富陽餘杭Ｘ軍集結晋北包綏圖西犯京鍾路Ｘ遭痛擊後已回竄
page 3	京鍾路對峙
page 3	晋北激戰中
page 3	贛北我游擊隊對Ｘ屢施壓迫中
page 3	滬Ｘ恐慌在四郊佈置工事
page 3	中國的新軍
page 3	Ｘ機炸牯嶺外僑表示憤慨
page 3	漢Ｘ又發通告晚間禁車輛通行
page 3	滬一奸商
page 3	法國艦隊向廣州灣集中
page 3	滬字林西報著論英重視遠東局勢日本圖獨霸太平洋較德義分土政策更重要
page 3	烟台對外貿易本月起已銳减
page 3	Ｘ軍Ｘ行鄉民將何以堪
page 3	湖南精神鄉民英勇殺Ｘ一段壯烈的奇蹟
page 3	法方否認禁止汽車經越南運華河內商會會長發出正義呼聲認越當局不應堅持錯誤碼率政策
page 3	靈邱偽警全部反正
page 3	Ｘ機襲陝渭南昨遭慘炸
page 3	閩疫癘流行患瘧者百餘萬
page 3	Ｘ兵作戰精神益形ＸＸ
page 3	東北愛國運動愈有蓬勃氣象
page 3	津兩租界仍被日方封鎖
page 4	西班牙叛軍逼近巴薩隆納英法當局曾予討論巴黎各報多表焦慮
page 4	英航空部
page 4	法駐遠東艦隊司令特古中將陸任
page 4	英報著文申明日本須改換面目英美兩强翕合無間對華觀點完全一致
page 4	國聯決議案重要意義主張英美法一致
page 4	開闢關島羅斯福談話表示贊同政府未考慮與日談判
page 4	歐洲援華空氣益熱烈
page 4	美共和黨贊同設防
page 4	莫斯科紀念列寧逝世十五週年舉行盛大集會
page 4	里賓特羅甫二十五日赴波責任端在利誘波蘭事先佈置以備東進
page 4	德政府將大改組排猶債事戈培爾失寵更調戈林摧升辛穆勒
page 4	希特勒頒令組織國防隊兵役期滿男子均加入德萬噸巡艦砲徑違約
page 4	汝勿殺人加州羣眾示威反對鐵料運日
page 4	Ｘ眾院會議有田答小川質問注視汪兆銘動向
page 4	柏慕達紐約間英帝航機失事最後之電報謂已沉沒適遇運貨船救起十人
page 4	希特勒與捷克外長作長談討論德捷一切問題
page 4	德人材缺乏設少年河航學校
page 4	捷匈邊爭成立協定糾紛解決
page 4	比國內閣昨日改組完畢
page 4	英閣員住宅加派警探保護
page 4	棉花會議巴西準備參加
page 4	改善兵役與精神動員
page 4	對波蘭的引誘
page 5	南路交通澈底破壞潿洲斜陽Ｘ兵增加兩島居民逃出十之六七Ｘ築機塲連日襲擊粵桂
page 5	張惠長出巡法辦攔路勒索者不肖團兵已被看管瀆職官警分別記過
page 5	陽江被炸平民死傷四人
page 5	李漢魂召集軍政會議遊擊隊將加整理
page 5	粵省營工業機關奉命於本月底結束
page 5	惠陽救濟難民增設難童教養班先後設置三十一班
page 5	出入安南
page 5	簡明軍律頒明訂死型者十條
page 5	台山積極備糧
page 5	合浦縣府安民
page 5	中山袁帶就職
page 5	定安槍決四匪
page 6	日本對港貿易由二位降至八位去年僅三百三十餘萬較前年少千六百萬元
page 6	營娼業婦人誘押難民幼女暗娼當局已予以嚴密注意
page 6	留港參政員特準備出席
page 6	粉嶺難民亦遷深圳統由賑聯會救濟月前從事救濟新界難民
page 6	粉嶺馬會慰勞杯賽昨開賽攪珠揭曉首名二六九九二
page 6	新界巴士被匪械劫奪去售票員銀袋華揉欲拘捕受傷
page 6	林柏生傷勢左眼恐失明汪曾有電慰問
page 6	瓊橋各代表今日再集會討論各代表意見
page 6	港六十餘團體組織粵僑救鄉會進行救濟廣東傷兵難民聯合設幹事團執行工作
page 7	快活谷中人山人海中華痛擊海軍聯新將在球王統率下勇猛無前總結果四比一觀眾咸嘆觀止
page 7	中華猛攻聲勢極盛
page 7	上半時內各無所獲
page 7	得一失一戰情劇烈
page 7	連中三元氣吞山河
page 7	南華遠征第三戰大勝西貢警察結果五比一演出精彩
page 7	女子籃球改期明晚舉行
page 7	鎢鑛走私猖獗每月運港增至三千餘擔錳鉍來源稀少價均暴漲
