page 2	社評五中全會的收穫
page 3	五中全會閉幕後中樞政象煥然一新最高國防委員會性質重要經濟財政教育均有新計劃
page 3	全會經過實錄
page 3	渝行營結束將在蓉設委員長行轅張群談西南經濟建設
page 3	西北交通新紀元迪化無綫電話局開幕試行與渝通話極清晰
page 3	吳佩孚竟附逆發表荒謬談話宛然Ｘ人口吻
page 3	皖Ｘ猛烈進犯烏石磯附近戰事激烈
page 3	葉楚傖今日到部視事
page 3	滬Ｘ兵厭戰十七名同時自殺
page 3	英使抵津
page 3	滬偽警不法騷擾南市民眾
page 3	Ｘ議會續開侵略野心露骨陸軍將長期駐華海軍決繼續強化
page 3	鄂中戰事緊張晉南Ｘ犯中條山偽軍犯五原未逞
page 3	Ｘ機炸南寧
page 4	希特勒演詞和緩英法美略放心對殖民地仍甚堅決德義友誼繼續保持
page 4	不輸出即餓死須充獲分食糧
page 4	盡力加強國防保障經濟安全
page 4	力闢進攻美國對英法無仇恨
page 4	德義友誼敦厚并及對日關係
page 4	打擊暴Ｘ剽竊三民主義之新陰謀Ｘ政略之總檢討
page 4	決贊助弗朗哥敦睦中歐各國
page 4	德不干涉美洲亦拒絕美干涉
page 4	英國如釋重負談判之門未關閉
page 4	法國重視一語我信仰永久和平
page 4	葉遐庵近作
page 4	美政界之評論戰爭不致即爆發
page 4	義人甚感興奮認德義軸心益固
page 4	英駐蘇新使呈遞國書
page 4	德國自給四年計劃
page 4	軍火騙案
page 4	諾貝爾和平獎金瑞議員克隆特
page 4	英購美機首批業已運英轟炸機二百架
page 4	吳佩孚附逆
page 4	希特勒的演說
page 5	桂省利用春假慰問出征軍人家屬餽贈食品調查困難以資鼓勵
page 5	劉侯武返汕談粵北情形集訓生加緊訓練
page 5	廣州市群醜分贓諸逆內鬨又玩新花樣偽警百名祗得軍用票
page 5	瓊崖走私猖獗查緝區強化緝私環島增設三個分所
page 5	閩文化經濟團體候選參議員名單呈中央圈定黨政當局會提廿八員
page 5	澳門建築機場
page 5	防城Ｘ擾江平
page 5	北海救濟米荒
page 6	帝航機昨日由港飛越在潿洲被日艦砲擊幸未被擊中安抵河內非法襲擊此屬第二次
page 6	立法局將修改限制迫遷法案業主不能收回自居迫遷法官有權評衡住屋租值
page 6	全港砲台演習砲戰敵由汲水門攻入諾貝爾二日返港
page 6	槍擊西警案預審終結移送臬庭審訊
page 6	賑聯會撥款五千元賑桂
page 6	新海輪在汕遇害不確
page 6	農曆新年後實行廢用舊輔幣當局望年前盡量兌換流通鎳幣共六百萬元
page 7	職業網球首戰經過勃琪輕取梵恩斯發球及反手抽擊為獲勝主因結果直落三收入達五萬美金
page 7	談滑翔機運動
page 7	勃琪受人愛戴
page 7	上海學生網球隊連日練習甚勤明天擬出戰德孚皮亞士
page 7	港菲足球
page 7	澳洲網球賽勃魯維區冠軍
page 7	荷匯昨回縮英美匯需求略增申匯市成交亦多
page 7	昨港股票市況先沉寂後略好轉希特勒演辭和緩人心略快慰電話公司去年獲利七十七萬
page 7	八九金市先鬆後緊價較前略漲二仙半
