page 2	國民精神總動員
page 3	瓊東戰事劇烈進行Ｘ進攻清瀾港遭遇抵抗我克復羊樓洞湘Ｘ恐慌
page 3	鄂東我游擊隊在沿江殲滅Ｘ人
page 3	同蒲南段Ｘ軍圖建立新屏衛線
page 3	十五日至二十一日一週戰況軍委會發言人發表我軍到處予Ｘ重創
page 3	國民精神總動員綱領及其實施辦法二二月二十一日重慶航訊
page 3	Ｘ機轟炸新界海通社稱日方已道歉並完全承認賠償要求
page 3	美人傅師德抵渝盛讚晋軍民合作民眾均知自衛殺Ｘ日軍不能統治全省
page 3	滇緬公路將由交部管理
page 3	法駐華新使戈斯默將抵滇
page 3	浙沿海勢緊我守軍嚴密戒備Ｘ圖攻海門未逞
page 3	調停戰爭之說陳誠部長否認
page 3	中英通航試航結果極圓滿正式通航已定期
page 3	滬郊我軍活躍魯匯鎮已被收復
page 3	津Ｘ壓迫租界或將再度封鎖
page 3	潘雲超未脫險
page 3	胡大使辭職說不確
page 3	滬公共租界巡捕搜查南京路一帶Ｘ方對工部局要求注重增加日警長官
page 4	哈里法克斯宣稱英法團結鞏固對任何問題均無歧見亦不藉以威脅第三國
page 4	法義爭端與英有關
page 4	義報否認盼英調解
page 4	議員質問英法合作
page 4	本報記者潮汕視察記林炎發的入獄一由一個人來看嶺東
page 4	日參加海軍競爭大規模造艦米內提出新造艦計劃擬與英美蘇三國對抗
page 4	確立民主法治制度奠定建國基礎案參政會第五次會議通過
page 4	蕭伯納被選為劇本寫作最佳受獎人
page 4	義垂涎阿土擬佔該國港口阿王從事準備
page 4	荷蘭擴充海軍政府已訂購戰艦兩艘為該國海軍中最大者
page 4	英法將在原則上承認弗朗哥下週間可望正式發表荷亦將作法理上承認
page 4	美巨型機波音飛剪號由舊金山飛港內部陳設華麗
page 4	齊亞諾聘問波蘭義大使亦隨行
page 4	美眾院否決關島設防案太平洋建根據地一案則以絕對之多數通過
page 4	荷波將擧行經濟談判商擴充商約問題
page 4	日本的海軍擴張案
page 4	宣傳的烟幕
page 5	粵南緊張徐聞戒嚴蔡廷鍇等返防指揮軍事Ｘ機艦濫施轟炸難民船隻被擊沉
page 5	粵北紀行中
page 5	梧州飛將再起
page 5	新會裁撤稅卡
page 6	港當局向日交涉保證難民區安全劃定地段避免不幸事件發生深圳海關職員返回執行職務
page 6	港輪船公司計劃增輪航行港緬線接駁滇緬港進出口貨運渝緬空航與帝航線聯接
page 6	閒話春季大賽馬
page 6	宋慶齡等籲請捐䘏國內難民桂南貴陽西北災區待賑
page 6	香港慈善會賣旗籌款羅旭和播音呼籲羅旭和爵士香港慈善會賣旗
page 6	英賑賣物會明日開幕會場佈置就緒職員今日集會
page 6	中藝劇團巡迴義演嚮應一元還債
page 6	農曆新年節約望得一萬元各商號款陸續交到
page 6	港海軍義勇隊服務英海軍封鎖艦二艘抵港巴力特號昨火警
page 6	澳培正樂隊來港演奏今晚在青年會舉行
page 7	今日甲組足球賽東方又逢南華華下午二時三刻起快活谷連檯好戲南華南亦出師迎戰香港會
page 7	菲足球隊無心戀戰征澳又敗績先得後失結果二比一全軍定今日啟程南返
page 7	賑難杯排球壓軸戲嶺南敗于聯隊結果三比二同時舉行頒獎禮
page 7	今天足球共有九場
page 7	重量拳擊賽加倫圖勝菲得曼
page 7	本港外匯牌價荷德瑞均漲英美匯市況俱屬沉寂申匯先穩後略淡且靜
page 7	股票市仍不振全日成交僅五萬餘元黃埔船塢將開派股息
page 7	英金微跌英銀近落遠平
page 7	八九金市穩但沉寂買賣俱少價格微降
