page 2	貢獻於全國教育會議
page 3	國民精神總動員政府決定迅速推行渝各界開會慰勞軍人家屬
page 3	Ｘ擬開發華北棉業我游擊隊屢施破壞生財計劃將成泡影
page 3	復興貴陽吳主席擬定辦法
page 3	渝疏散市民政府督促實行
page 3	中國地質學會年會在渝舉行
page 3	改造地方政治孔院長在參政會報告對戰時施政詳盡說明
page 3	行政院會議于學忠任魯省府委員川教長楊廉撤職查辦
page 3	湘主席行署業已組織就緒長沙市府昨日起撤銷
page 3	駐華德代辦昨日到達東京所負使命不明
page 3	粵亟謀改善兵役四區長官司部力謀充裕兵源商討自衛團組織訓練問題
page 3	張定璠滬庽被Ｘ搜查封閉
page 3	蘇北激戰淮陰可聞砲聲
page 3	滬郊偽軍不堪Ｘ軍壓迫連日紛紛反正
page 3	韓革命黨擴大紀念三一節
page 3	Ｘ艦擾浙沿海在鎮海口外發砲亂轟
page 3	滬租界加強防務在西區架設鐵絲綱Ｘ方人員訪樊克令
page 3	贛收容難民在西南部墾荒經營面積一萬二千畝
page 3	阮慕韓等脫險安返冀中
page 3	常營集大捷獲得重要文件甚多Ｘ俘盛稱我軍英勇
page 4	英承認弗朗哥後眾院劇烈辯論張伯倫說明政府理由工黨反對提出彈劾案
page 4	巴勒士丁問題猶人堅決反對英國建議雙方代表仍在磋商中巴勒士丁曾發生騷動
page 4	倫敦又發現炸彈案
page 4	比新閣辭職因社會黨閣員不與政府合作
page 4	偽滿邊境又起衝突日哨兵開槍斃蘇兵一名
page 4	德外交政策將有大轉變準備保障今後歐洲和平義對法要求現展緩提出
page 4	英海軍新預算較上年增百之二十
page 4	本報記者潮汕視察記三嶺東的黑暗面給我們一個好官呵上
page 4	義波談話結束齊亞諾接見駐波德大使告以與波外長會晤結果
page 4	蘇聯擬建造強大海軍
page 4	美擴充陸空軍案參院討論即將提付表決軍委會報告德發明炸彈
page 4	美下屆總統
page 4	美航空工廠不售日本飛機
page 4	上海租界問題
page 4	地方行政的改造
page 5	蔣委員長電令嚴懲粵戰失職將領受處罰者莫希德等十員蔣光鼐就戰區參謀長職
page 5	古鼎華抵長沙履新
page 5	最高指揮部整軍經武桂閩均積極檢閱某大員奉派檢閱桂省壯丁軍事視察團到達閩南工作
page 5	趕修川滇鐵路滇省府加僱民工昆明市建墙拆屋以防空襲
page 5	石岐規復電力
page 5	羅定設督導處
page 6	猪肉來源停頓肉商正力圖補救派人赴廣州灣各地搜求日來市價略跌尚未穩定
page 6	無獨有偶誑報遇劫被控李流陳兆甫各罰苦工作繭自縛均因負於賭
page 6	深圳農村福利會協助農民授以防空知識亟盼各界捐款予以協助
page 6	Ｘ炸羅湖事件下週開始談判本港單方調查已竣事損失情形已拍照作證
page 6	馬票大彩究落誰家周錫年醫生否認謂係友人開玩笑
page 6	馬來亞司機過港駕華僑捐車入桂交第十八集團軍點收摩托車研究會昨歡迎
page 6	摩登女招夫
page 7	督憲杯足球二次賽協會再戰總會隊定本星期日在嘉露連山舉行雙方出場人員正嚴密慎選中
page 7	星洲中華隊赴菲比賽
page 7	鑰智足籃球隊征澳凱旋歸來
page 7	公開男子籃球賽本屆參加踴躍甲乙兩組共有二十八隊
page 7	暹匯續縮澳匯不動其餘均再漲英美俱沉寂申匯略鬆弛
page 7	英金回漲英銀遠近俱昇
page 7	股票市況昨仍平淡成交僅萬餘元買戶較前略多賣家堅持不放
page 7	八九金市穩而沉寂買賣仍少價略高漲
