page 2	西安Ｘ俘參加獻金感言
page 3	南潯左翼戰況趨緊我援軍源源開到士氣甚旺湘北我軍向岳州東南進攻
page 3	吳城激戰
page 3	我逼通城
page 3	貴陽建設中大規模興修水利民眾赴工極踴躍
page 3	黔省參議員全部名單已公布
page 3	龍門縣長湯燦華記大功
page 3	美國的動向下羅斯福態度明決詹森談中國現狀
page 3	偽航公司飛機一架墮海乘客九人全溺斃
page 3	歐亞失事機四搭客全殞命
page 3	僑胞服務團即將由滇轉渝
page 3	周詒春前日離筑來港
page 3	華僑實業公司在內地設分公司
page 3	我壯丁被擄秘運台灣滬杭
page 3	全國生產會議滬專家準備出席
page 3	Ｘ偽企圖刼奪江浙蠶業組設所謂蠶絲公司廠商拒絕與之合作
page 3	法使離滇將由越南轉滬
page 3	平妖道會吳佩孚未參加
page 3	Ｘ偷渡錢江被殲我軍大隊乘勝追擊Ｘ艦昨砲轟臨山衛
page 3	Ｘ色厲內荏在瘋狂侵略下一篇瘡痍賑目對外貿易逆轉政府濫發公債
page 3	內部禁烟委會派員赴各省視察
page 3	滿船屍灰由滬載運返日
page 3	修改造船條例減低舉債限制
page 3	津商李魁元被Ｘ綁架勒贖
page 3	男子被迫從軍工廠缺乏工人
page 3	人民營養不足死亡率日增高
page 3	中蘇航空開始蘭州號昨離渝飛哈密
page 3	Ｘ閣調整陣容擬援引有力新閣員勝田田邊傳將起用
page 3	貨幣借款案英眾院通過三讀
page 3	煙台天主教堂中國職員被捕
page 4	張伯倫在眾院重申英國決心蘇覆文贊同四強宣言德邀義共採報復步驟
page 4	德斯協定成立斯洛伐克名存實亡一切均受到德國支配
page 4	德羅新協定內容包括極廣羅富源將不保
page 4	新加坡空前的海陸空大演習
page 4	匈軍開入斯境曾發生衝突斯政府已提抗議匈外長允予調查
page 4	美各界宣言抵制德貨
page 4	對漁業問題日本屈膝將繼續作妥協談判蘇將二次拍賣漁區
page 4	德海陸空軍大批開進米美爾將建軍港希特勒頒布管理命令立外長由德返考那斯
page 4	蘇中央政治局全體新名單發表史達林等十一人
page 4	美捷商約下月暫停實施
page 4	德報對義盡討好能事表示將支持義國要求並希望義不戰而成功
page 4	義王演說
page 4	法國反應
page 4	東南歐的形勢下
page 4	華盛頓傳赫爾將倦勤日內擬作短期休養
page 4	法總統返國英王等均親自送行報聘儀式告一結束
page 4	前日駐法大使杉村逝世生前不滿軍閥政策憤而辭職抑鬱以終
page 4	西戰雙方代表傳已成立和議國民軍今日開進瑪德里
page 4	比國闢謠並未與德談判
page 4	Ｘ閣的會議
page 4	歐局的張弛
page 4	英加緊空防政府向國會提國民防空計劃
page 5	陳策首先投資三萬倡辦雷州半鳥墾區荒地六百萬畝可劃墾區四百華僑銀團貸欵收容難民開墾
page 5	江門進口洋米稅免二十萬公擔八月前為免稅時期
page 5	朱暉日出巡潮汕民眾寄予無限熱望
page 5	多行不義必自斃東江Ｘ染瘋疾
page 5	洋米免稅入口汕市府預防操縱設調整會平抑米價各業奮起肅清Ｘ貨
page 5	張發奎派員檢閱東江游擊隊藉資補給並致慰勞專員出巡縣長受獎
page 5	吳奇偉曉諭粵閩贛邊區發眾非法武裝速投效聽候改編而保元氣
page 5	瓊僑救濟會設廣州灣收容所俾難胞得暫時棲身
page 5	犯瓊Ｘ軍一部撤退瓊山定安有激戰我游擊隊聲勢浩大張炎鄧世增商聯防
page 5	澳門火警傷人
page 5	雷州市面蕭條
page 5	中山科長委定
page 6	本港衛生當局勸居民及時種痘醫務監督昨發出通告港府計劃建肺癆病院
page 6	深水埗太子道西婦住宅昨被劫三匪藉詞送貨賺門入屋贓物值千餘元一匪被補
page 6	灣仔海面發現海豚一九一八後極少見
page 6	廣九路華段員工登記者千餘人本月底截止將彙齊寄部路局向部提議救濟方案
page 6	中環新街市攤位公開投標開幕確期迄尚未宣佈原日攤位可享優先權
page 6	淪陷區名勝影展下月在嶺英舉行何鐵華將赴前線
page 6	沿門勸捐英賑華分會定期編隊出發擬假中環街市義賣案港當局表示不允假借
page 6	廣州市銀行託省銀行收付存欵
page 6	潮嘉商會呈華民司汕頭霍亂症已肅清請准三等艙客登岸
page 6	時人往來
page 6	港督微恙已漸痊可將參觀粉嶺賽馬
page 6	啟德機場擴大場面改良設備
page 6	香港火燭保險公司何東爵紳辭顧問職羅文錦已接受邀請
page 6	今日之兒童未來的主人保兒團體消息彙誌
page 6	暹羅僑胞返國者多暹政府種種限制各僑胞不勝重負
page 6	鵬程與海龍兩帆船近訊一抵馬達加斯加島一到太平洋中途島
page 6	茶香室案下週可定期公審
page 7	今日甲組足球賽南華南對九龍會此戰宜以智取勝負有關錦標東方在掃桿埔場重鬥米杜息
page 7	征菲埠際隊陣容決定
page 7	星洲中華足球隊月底乘機飛港四月一日首戰南華會門票即日起開始預售
page 7	今晚籃球賽警察戰華南
page 7	滬聯甲組賽提前結束東華會獲亞軍最後一戰中二比三敗于法商
page 8	外匯牌價無變動英美匯市況沉寂申匯市穩但靜買賣仍不甚多
page 8	八九金市異常沉寂買賣仍少價無起落
page 8	本港一週間股票市況靜而鬆弛成交不及百萬股價亦略下降
page 8	華北及滬關被劫持後稅收均被截留擅自修改稅率有利日本各國對華貿易均受影響
page 8	我國去年度各地貿易統計海關總稅務司公署發表
