page 2	兒童節感言
page 3	高安附近激戰方酣鄂中我軍渡河猛擊
page 3	汕海漁民浩刧Ｘ艦洗刧我漁船
page 3	三月下半月各戰區戰績斃Ｘ官兵二萬餘名俘Ｘ官兵七百餘名
page 3	粵省黨部已接收改組
page 3	津金融界騷動Ｘ限制錢莊存款數額超過五千元即被沒收
page 3	由貴陽到香港一
page 3	滬郊又緊張我軍勇猛進攻Ｘ竟施放毒氣
page 3	是真無賴狂跳狂飲狂歡結果開槍逃走
page 3	上海法院昨戒備仍嚴
page 3	ＸＸ田中在晉督戰受傷
page 3	刁特脫險返津
page 3	救濟難童蔣夫人派員赴鄂桂省亦積極辦理
page 3	蘇日漁業糾紛暫告一段落雙方同意簽臨時協定以一年為期日本屈服
page 3	冀南我軍克復寧津慶雲
page 3	兒童節渝市盛大慶祝
page 3	飛機兩架在台散反日傳單
page 3	津Ｘ軍官時常被人擊斃
page 3	無錫鋤奸案一走狗受傷甚重
page 3	犯中條山Ｘ勢挫我軍克復重要據點Ｘ機昨又狂炸西安
page 3	克萊琪赴滬日報妄發批評謂英應以全力應付歐局不能干涉日本對華關係
page 3	五路軍總部上月底奉令撤銷
page 4	歐局重心移英波外長法空長赴倫敦眾院將辯論外交問題
page 4	德外部密切注視英波倫敦談話
page 4	波蘭仍積極擴軍不任德國東進
page 4	對希特勒演說英輿論一致抨擊並未提出建設的建議祗足以欺瞞德國青年
page 4	歐洲風雲人物柏克素描是一個最成功的騎牆派
page 4	蘇報批評英政策應更進一步反侵略宣言須包括蘇聯並擴大範圍適用於遠東
page 4	傳英義正醞釀全歐和平運動分別調解法義德波關係倫敦官方對此已予否認
page 4	羅斯福關懷歐局
page 4	英報傳羅當局接納英保證英將以貸款方式助羅國擴充空軍
page 4	勒伯倫或將競選聯任已作此種暗示
page 4	德預算公布軍備及國防費未列入一篇糊塗賬莫測高深
page 4	日佔斯巴得來島美國極重視認為妨礙美遠東利益
page 4	波蘭前總理昨受槍傷據傳係出自殺
page 4	西內戰結束後義撤軍問題引起法國報紙密切注意瑪德里一日被捕二千人
page 4	歐局
page 4	日本對蘇二度屈服
page 4	英總參謀長高爾特返抵倫敦將謁張伯倫報告
page 5	新鶴全線殘Ｘ動搖江門克復我軍大勝沙坪古勞會城交戰均烈
page 5	會城Ｘ軍勢將崩潰
page 5	中山安謐
page 5	張瀾洲等返港報告江門劇戰經過軍民精誠團結發揮守土精神商會急謀救濟難民慰勞將士
page 5	第四戰區充實機構李章達任軍法監監部月初在韶成立丘譽兼政治部主任
page 5	澳督飛葡兩月後返澳門
page 6	全港小朋友今日慶祝兒童節分在皇后娛樂普慶擧行大會兒保會招待街童同樂
page 6	慰問難童紀念會各代表午後赴保育會
page 6	香中附小通電全國兒童
page 6	仿林女中舉行成立典禮
page 6	大眾學校增加難童斑額籲請各界援助
page 6	兒童救國團響應還債運動節省出求快樂的消費希望小朋友聞風興起
page 6	精神總動員華商總會今日開會討論會員鄧志清昨日擬就組織大綱及實施草案
page 6	清糞費清糞伕要求增加
page 6	港府未雨綢繆強化防禦工事增建丸箱式堅強堡壘東調海空軍以資保衛
page 6	學生賬濟會明日召開執委會議
page 6	閨秀舞會籌得賑款四千元
page 6	各界賬聯會今日大會地點在華商總會
page 6	武則天皇后今日起公演
page 6	大風雨之後昨日天氣驟寒最低曾降至五十九度三月份陽光紀錄最低
page 7	旭和杯足球二次戰南華會對陸軍聯下星期一在海軍球場交鋒甲組冠軍對聯隊定期舉行表演賽
page 7	南華華最後一戰今日相逢士葛下午四時半在掃捍埔舉行
page 7	我籃球國手唐寶堃赴滇
page 7	我將遣派國術選手參加世運表演教部已轉由籌委會查照辦理
page 7	草地網球何家鎏力克黎廣駿
page 7	鍾聲籃球隊輕取港大
page 7	滬聯足球甲組賽西福斯獲錦標亞軍東華會第三西捕隊
