page 2	日本新國防計劃檢討
page 3	鄂贛我軍猛烈反攻京鍾漢宜兩路Ｘ受控制我向奉新挺進壓迫南昌
page 3	鄂中方面
page 3	對汪精衛舉一個例的進一解
page 3	贛北方面
page 3	粵海方面
page 3	津偽聯銀行經理程錫庚被刺斃開槍者從容逃脫
page 3	被扣葡輪仍泊吳淞口外
page 3	高麗義勇軍派人返國宣傳
page 3	文協抗Ｘ協會改選二屆理事
page 3	江南我游擊隊大舉進襲中宜興劇戰後克復
page 3	中樞紀念週由何應欽報告
page 3	Ｘ機襲浙在江山投彈
page 3	偽軍不穩反正者甚多
page 3	我軍衝入百靈廟劇烈巷戰Ｘ受重創同蒲路北段Ｘ歛蹟
page 3	我國財政金融過去與現在孔院長之重要講演續八日第三版
page 4	對付義德侵略野心英法步驟一致兩國內閣同時集議獎對希土提供保證
page 4	德義野心未戢歐洲群感不安傳德對巴爾幹及波蘭義對希臘俱將有行動
page 4	由貴陽到香港
page 4	潘思訪齊亞諾英向義提出照會義代辦保證在阿行動蓋達著文向英施恐嚇
page 4	瑞典守中立國防部長發表演說主依自力抵抗侵略
page 4	近東回教國家反義情緒高漲土京阿拉沙大學學生擬舉行罷課對義示威
page 4	齊亞諾返羅馬向首相報告阿行經過墨索里尼將發表演說
page 4	傀儡政權業經成立
page 4	日本各種軍事費總觀察五
page 4	會長演說認賊作父
page 4	阿王偕后前往雅典
page 4	羅斯福返京與赫爾協議國際局勢新中立法案在研究中
page 4	秘魯宣布退出國聯
page 4	羅外長返國土羅談話結束同意保持兩國安全獨立
page 4	歐局的緊張
page 4	贛湘的戰局
page 4	日本覬覦沙第阿拉伯油井與該國進行締約土耳其甚為焦慮
page 5	我便衣隊一度攻入會城江門我軍迫近市郊海晏Ｘ艦未退新會鄉村被炸中山並未激戰當局下令嚴防
page 5	李漢魂派振濟隊辦理收復區急賬粵漢南段仍在激戰
page 5	朱暉日出巡抵新興
page 5	中山睦州河面渡船被劫追剿團隊一人被殺
page 5	石龍我軍轉進仙村陣地
page 5	沙坪戰役我軍戰果極偉大斃Ｘ數百內有司令一名沙坪桃源錢塘遭Ｘ焚劫
page 5	惠陽省行恢復
page 5	在淪陷區工作五十天脫出海南島
page 6	吳菊芳函婦慰會請代搶收難童難婦在曲江設立兒訓團施以教育韶關組婦女工作團從事生產
page 6	深夜四小時內發生搶案三起海盜放槍擊傷貨艇主一宗未遂捕一嫌疑犯
page 6	鳳凰城中有林靜中旅重建後第一個戲第一幕最先出場的女角
page 6	賬聯常會撥深圳難民營餘米賬濟澳門灣仔難民
page 6	放白鴿飛翔空際一匝然後各自返家
page 6	西忌士輪被Ｘ扣留刻正進行交涉
page 6	余漢謀代表昨歡迎安南童軍服務團首次回國曾有九人犧牲返安南補充後重上征途
page 6	復活節假期屆時各機關今日復工港督昨晨由粉嶺返港基督教徒昨晨慶祝耶復活
page 6	抗戰彙輯不日即將出版
page 6	順德僑胞進行救鄉運動
page 6	中青第五隊在坪石工作外科用竹製鉗代用內科藥物尤　缺乏
page 6	吳公虎畫展展期一日許世英往參觀
page 6	兩才隊東江華僑回國服務團全體隊員由星洲抵港惠陽商會昨開會歡迎
page 7	旭和盃足球二次賽南華力克陸軍聯結果二比一戰來提心弔胆中西兩門守表演俱見出色
page 7	本屆世運秩序
page 7	海外一角
page 7	東方會捷報三比零又勝東京B隊
page 7	東方籃球隊敗于南華結果五三比四七
page 7	澳門與廣州灣對本港貿易最近半年來日見增加
page 7	二次地方金融會議經過財部招待外記者報告
page 7	國際時局緊張鎢砂價漲
page 7	粵省絲區慘遭蹂躪日來本港絲價已有上漲趨勢
