page 2	日本軍閥能不能覺悟
page 3	粵贛戰局猛烈展開我軍反攻克復從化
page 3	我軍連克要地證明實力增強全線總反攻尚未開始Ｘ兵力削弱業已暴露
page 3	順德縣長辭職照准省府會議決定
page 3	英大使昨謁孔院長
page 3	負傷將士應受民眾敬禮軍會擬定辦法
page 3	二期抗戰中的安徽四月十二日寄自上海
page 3	沙王抵蓉
page 3	綏西民眾踴躍輸將救國
page 3	七七棉紡機經改良後成功
page 3	武寧爭奪戰一
page 3	汪到滬活動滬一一五業同業公會電中央表示憤懣痛恨
page 3	大量烟土在滬西被劫走
page 3	國際反侵略會電宋子文決援助中國抗戰
page 3	蘇北鏖戰中我軍分別反攻海門已被克復
page 3	平漢我軍活躍保定以北列車傾覆坨里煤　全被炸毀
page 3	黃寶賢抵仰光商中緬正式通航
page 3	英報著論讚揚我英勇反攻勝利日內瓦國際視聽丕變相信我能獲最後勝利
page 4	蘇決心與英法聯合提出四項建議英內閣正在研究中張伯倫將發表聲明
page 4	法外長演說稱頌羅斯福各國能瞭解羅氏本意人類恐慌可無形消滅
page 4	對走廊問題波態度堅決反對德建造汽車公路但澤情勢亦為之穩定
page 4	各國認義相演說後歐洲和平未絕望英國對義仍設法拉攏德已準備答覆美建議
page 4	英內閣決定增設供應部辦理陸軍部軍需供給人選已內定裴金調任
page 4	西南非未雨綢繆增強警備力量南非聯邦總理強調聲明決不交回德舊日殖民地
page 4	艾登演說以三重和平政策保障世界之安全
page 4	日本侵華後實力大減戰事結束遙遙無期對德助力遠不如前
page 4	如木草製糖上范京君一件可貴的發明
page 4	在華權益遭歧視美向日抗議要求尊重長江上游美僑畢德門主實行對日報復
page 4	美名流賡續討論修正中立法外交協會會長布爾主張對我特別規定變通辦法
page 4	加拿大海面發現怪潛艇當局已嚴為戒備
page 4	保總理表示嚴守中立
page 4	德義對東南歐實行外交戰竭力拉攏羅南入夥
page 4	羅外長抵比
page 4	有意義的反攻
page 5	四邑戰事急轉直下我軍連克新會大岡江門被我包圍已在近郊激戰Ｘ艦砲轟古鎮企圖登陸睦州
page 5	粵專員縣長調查九行政區九十七縣一省轄市三管理局
page 5	潮汕緊張積極疏散汕市戒嚴公路破壞
page 5	狼煙滿地之瓊崖文昌縣一片焦土Ｘ機轟炸廬舍為墟人民愛國傀儡難產
page 5	西江最前線勞軍行二
page 5	粵戰時施政綱要日內公佈施行
page 5	粵幹訓所受訓人員規定下月十六開學
page 5	博羅Ｘ機狂炸
page 6	英賑華分會發動募捐十萬元運動昨日招待各行商會領袖廠商聯會即席認捐千元
page 6	食水供給每日延至十小時上午六至十一下午四至九若再降雨則可撤銷限制
page 6	培正中學校長人選董事會明日會商各方屬意楊元勳
page 6	工程師學會定期參觀天廚廠
page 6	徵募短衣一週間募得共七千九百套粵慰勞會昨日開會
page 6	浸信會少年團國難服務團籌辦賣物籌賑會
page 6	渡美輪船減收船費為便利遠東人士參觀金門博覽會
page 6	青年農藝院籌款約三千餘元
page 6	英公主壽辰港督昨去電致賀
page 6	新中國影片公司最近創立即將開拍
page 6	本港英海軍尋訪水雷尋獲者可得獎賞
page 6	港大與我大學合作重要問題已商定杭立武前日已離港返渝委員會報告下月呈港督
page 6	婦女新運會為某軍募捐雨具
page 6	中環新街市魚攤投出承商二百五十人最高價一百餘元
page 6	民歌戲劇比賽大會
page 6	追悼馬伯援
page 7	甲組盟主爭奪戰南華南會師海軍今日下午四時三刻在海軍球場舉行對方新軍開到形勢又告好轉
page 7	俯泳新紀錄
page 7	中華體協昨晚開代表會選舉本屆職員
page 7	蔡惠全最近的收穫
page 7	教育部決定參加世運項目遣派足球隊競走馬拉松出席預賽事宜均在重慶舉行
page 7	談乒乓運動
page 7	南華泳場明日游泳表演
page 7	來自重慶
page 7	公開籃球今晚乙組三場
page 7	外匯牌價無變動英美滙市均穩靜申匯市亦穩靜買賣略見增多
page 7	一週間股票市先靜寂後好轉全週成交僅三萬餘股各股價格跌後略回漲
page 7	八九金市略淡且靜買賣尚少價格略跌
page 8	日本陸軍省發表的世界各國陸軍現況
page 8	美國官方發表的世界列強軍備統計
