page 2	香港商業之消長與中國戰局之關係
page 3	蔣委長關懷僑胞縱談國際大勢有利確信Ｘ人今後決難久支我軍克復大城包圍南昌
page 3	贛戰再捷
page 3	鄂南戰況
page 3	我神通空軍炸九江武寧Ｘ軍
page 3	綏晉戰烈
page 3	英大使在渝將作短期勾留對我抗戰情緒印象極佳
page 3	清鎮壯丁自動從戎受獎
page 3	甘省主席電蔣致敬履行國民公約
page 3	安慶之Ｘ強烈反英運動
page 3	熊劍東被拘滬Ｘ報大事宣傳
page 3	端納顧問的一封信
page 3	Ｘ機六架濫炸福州溫州
page 3	戰地宣傳綱要一軍事委員會製發
page 3	華北偽鈔仍繼續濫發價格暴跌信用益減蘇報認Ｘ政策失敗
page 3	李蒙抵長沙即將赴湘北前線各團體盛大歡迎
page 3	沙王今日赴陝
page 3	四勇士在滬慘遭犧牲
page 3	蘇境我軍聲勢益浩大進攻徐州戰事猛烈如殘Ｘ已被肅清
page 3	滬懸旗案尚未解決被搜國旗昨發還
page 3	招遠克復
page 4	英向德提警告不容再有侵略行為英擁護美總統建議
page 4	英國政策不變討價還價之門雖啟抵抗侵略決心未餒
page 4	美國態度堅決駐德美使暫不返任待希特勒對美答覆
page 4	邱吉爾主張實行徵兵制支持英國對外諾言
page 4	希特勒二十八日演說國會同時開會
page 4	南外長訪德在柏林舉行談話下月將赴匈牙利
page 4	英羅談話主題擴大波羅聯繫英德商務代表集羅京互爭對羅經濟領導權
page 4	從地理上分析義大利的戰時危機
page 4	英駐義大使潘思返國
page 4	滬一元還債總額超出百萬元
page 4	德日勾結圖在太平洋上建海軍根據地
page 4	美中立法修正工作有重大進展議員多主張援助英法並向日本施經濟壓力
page 4	美海部重視建築軍港案待總統批准即著手興工關島設防另訂變通辦法
page 4	英積極強增直布羅陀防務第一號船塢實行擴大地中海艦隊出發演習
page 4	日重臣決定外交政策向民主國仍送秋波
page 4	赫德森報告歐行經過英蘇商業談判不久即可開始
page 4	玻利維亞實行獨裁總統頒布特別法令廢除法典解散國會
page 4	旅德三英商被逐出境英向德提抗議
page 4	比新閣員舉行就職典禮
page 4	英駐美大使改委卡爾繼任林德賽將告退
page 4	美報記者在義被逐
page 4	我軍主動作戰實力極堅強蘇聯紅星報著論稱讚
page 4	日本怎麽樣
page 4	中國只有好
page 5	中山團隊昨克潭洲反攻江門孤軍奮戰水南爭奪新會鬥士控制城郊
page 5	韶關的俘虜澁谷利一郎會見記傷感徬徨的日本兵
page 5	潮汕人口遵令內遷疏散者十分之九留居市民已加組織華振中就職表示與潮汕共存亡
page 5	吳飛昨晨離韶赴中山
page 5	始興發起代耕
page 5	澳門旅客溺斃
page 6	全港青年團體五四慶祝青年節學賑會舉行節食節用運動各團體今晚開會討論
page 6	有備無患本港當局勸令居民儲糧以預防商人乘機壟斷罐頭食品可儲藏較久
page 6	德容克機今日可飛抵本港
page 6	貴陽號輪並未失踪將於二十七抵港
page 6	交際電報拍往英屬各地五月一日免費
page 6	廠商求減電費織造行協助進行半島居民較前增加一倍九龍電燈公司有答允意
page 6	粵青年會昨應李主席函召赴韶籌設辦事處
page 6	粵女青年會隨軍服務團昨晚舉行授旗典禮今午出發返國服務
page 6	救國公債勸募分會昨舉行全體大會
page 6	新界風水問題建房子闢荒地都有些不便港府與耆老會約法三章
page 6	婦女慰勞會昨晨舉行常會
page 6	新海門輪昨日抵港寄碇於福州時
page 6	兒童保育會應徵教員須知
page 6	新界農民開始春耕今年可望豐收
page 6	南開校友會港分會今日聚餐
page 6	廠商聯合會定期召開同人大會新職員亦同時選舉
page 6	賑聯會議決墊款籌演黃花崗各特委團體墊支一百元撥款為利司令購辦藥品
page 7	公開網球半決賽徐煒培得心應手人老珠黃大林珍苦戰而退今日一幕李惠堂相逢小徐
page 7	台盃網球中法之戰將在巴黎舉行
page 7	今晚籃球隊東方對培英
page 7	一英里名將伍特遜將出戰克銀漢半斤八兩預料必有傑作
page 7	星洲足球隊前日出征西貢中華隊選手三人助陣宿將林榮亮親任領隊
page 7	鍾聲游泳場星期日開放
page 7	東方歸期最遲明日抵港
page 7	股票市乏生氣投機家仍多猶豫不購全日成交僅四千餘股
page 7	八九金市再略鬆弛賣戶較多價再微降
