page 2	社評青年運動週之第一日
page 3	南早戰事激烈進展鄂中前線近又轉趨活躍鶴山Ｘ突自動全部撤退
page 3	向塘克復我軍逐步推進
page 3	大批Ｘ機昨日飛湘肆虐
page 3	四月下半月我所獲戰果斃Ｘ三萬餘名俘Ｘ五百餘名
page 3	傷心話太倉第三戰區通信
page 3	京滬沿線Ｘ實力空虛寧波昨又被轟炸
page 3	三峽實驗區署舉行兵役宣傳壯丁二百自願從軍民眾今日 開會歡送
page 3	華中鐵路Ｘ圖完全霸佔
page 3	朱暉日巡視完畢返韶
page 3	滬生活困難食料價格激漲
page 3	中國紡織學會召開七屆年會陳部長到會致詞
page 3	南陽壯丁民眾歡送入伍
page 3	美大使即日來華返任
page 3	七屆留英考試定七月底舉行
page 3	滬Ｘ擬發偽鈔華北Ｘ施行外匯統制英報認為已完全失敗
page 3	戰地宣傳綱要五軍事委員會製發
page 3	偽自治軍一部在豫反正
page 3	出征軍人家屬昨在渝聯歡參加千餘人精神蓬勃蔣夫人出席懇切演說
page 3	滬副總巡受辱工部局即提抗議
page 3	湘青年運動週今日開始舉行
page 4	反侵略陣線正加緊進行中德對但澤窺伺日亟蘇波關係愈見接近
page 4	邁斯基返抵倫敦續商蘇聯建議英外相今日報告
page 4	德勢力擴至黑海蘇重視巴爾幹波丹金將赴保國
page 4	英不願與德商海軍問題祇擬於適當時期答覆德國備忘錄
page 4	蘇海軍委員長古茲奈索夫繼任
page 4	英增強陸軍常備兵將予補充地方軍報名踴躍
page 4	波蘭對德要求下週將提出答覆當局作充分軍事準備對但澤問題態度不變
page 4	在德國威脅下波蘭實力估計譯自英國孟哲斯特衛報
page 4	蘇聯報紙著論盛讚我游擊隊日軍後方已變為前方侵略行動遭特殊困難
page 4	鮑爾溫發表談話讚揚羅斯福今後戰事能否避免關鍵在希特勒一人
page 4	美擴充海軍將建主力艦兩艘飛機二百五十架
page 4	希特勒今日將演說紀念勞動節
page 4	美對義日貨物將徵懲罰稅與德貨受同樣待遇
page 4	羅外長離法赴義法羅談話結果雙方觀戰相同
page 4	德義陸軍當局舉行參謀談話德陸軍總司令抵羅馬義國擴充陸空軍實力
page 4	希特勒接見匈總理外長
page 4	法西邊境突告封鎖大批英法軍艦集中直布羅陀
page 4	短評希特勒與英蘇波
page 4	華中將發偽幣
page 5	西江展開主力戰桂軍出援克復鶴山會城團隊乘勢反擊再克汾水江
page 5	粵振濟會兩月工作經過
page 5	粵參議會五月十日舉行
page 5	潮汕風雲白雲
page 5	岐關車失事傷三十餘死七人
page 5	中山促進黨務
page 6	學賑會發起節食節用運動以撙節所得賑濟難民今晨起派隊徵收捐欵
page 6	本月中旬舉行戰時防空演習使市民辨別空襲警報選定建築物作避難所
page 6	鶴山商會撥款萬元賑濟鄉民
page 6	全港中學會考恢復初級人學試及格者仍舊發給文憑中學高級生紛紛報名
page 6	電燈公司華人會昨舉行國民宣誓並實施精神總動員綱要華夏學院定今日舉行
page 6	昨午舉行的現代漫畫預展文化陣營戰鬭力的表現
page 6	名劇一年間留港劇人昨會議決定大規模公演
page 6	中山僑商會竭力解決中山米荒
page 6	中華書局歌詠隊舉行音樂戲劇會籌欵捐助兒保會
page 6	華人文員協會四日實行焚債組織失業維持特委會每月舉行聚餐會一次
page 6	羅文錦談華人人事登記外籍居民登記頗為遲緩政府催促早日登記完畢
page 6	肺病淵藪在人煙稠密之區
page 7	公開草地網球今天雙打半決賽徐家兄弟逢戰林添德黃錦熙
page 7	撲次茅斯足球隊獲總會杯錦標四比一勝狼隊有志竟成英后親臨頒獎盛況空前
page 7	蘇聯體育近狀二全國運動員有一千二百萬人一般水準不亞歐美各國
page 7	游泳上市華人會今日開放鍾聲會昨天啓幕
page 7	今晚籃球鍾聲對廣大華南對培英
page 7	阿姆斯強赴英比賽保證收入九千餘鎊
page 7	春季中土產出口逾四千萬元仍以桐油茶葉為最多
