page 2	社評抗戰與報人
page 3	我軍續攻奉新南昌粵境各線轉趨沉寂Ｘ機昨日狂炸潮汕一帶
page 3	從化前線軍民聯合抗Ｘ敵愾同仇感情融洽以少勝多Ｘ軍膽寒
page 3	僑胞的熱情向僑胞機工歸國服務隊致敬恩源寄自昆明
page 3	粵省府通過戰時施政綱要陸幼剛等視察連縣黨務
page 3	西昌民氣蓬勃
page 3	我軍衝入宜興城內發生激烈巷戰
page 3	Ｘ軍中將在奉新附近被殲
page 3	滬Ｘ迫海關強令收受偽鈔外人主張拒絕
page 3	英眾院討論天津租界問題滇緬鐵路已初步興築黃浦停濬仍在交涉中
page 3	Ｘ對滬租界竟主撤底改組滬市民呼吸不自由燃放爆竹觸Ｘ之怒
page 3	德日關係將發生變化日反對加入反民主陣線駐德大使白鳥提出辭職
page 3	Ｘ機二十七架昨又飛重慶肆擾商業市區中彈起火北碚發生激烈空戰
page 4	英閣議決定對蘇提出答覆英法正在交換意見中北歐四國外長將集議
page 4	蘇外長易人李維諾夫辭職莫洛托夫兼任
page 4	英擴充海軍全部新艦達一百萬噸
page 4	中國回教朝覲團麥加朝覲詳記阿拉伯人同情我抗戰
page 4	中國協會年宴倫敦空前盛會郭大使讚揚英國援助賈特菲推崇蔣委員長
page 4	英王日內赴加貴眾兩院議員開會表示效忠以代話別
page 4	羅斯福將提新中立法案便利供給英法軍火並答覆希特勒演說
page 4	短評蘇聯外長易人
page 4	謝謝英國友人
page 5	鶴山新會全線激戰鄧軍擊潰井根西犯之Ｘ團隊反攻會城進至西隄
page 5	第四戰區政治部對付Ｘ政治進攻頒行辦法飭屬實施內容尤重經濟方面
page 5	Ｘ強迫輪渡開江省線
page 5	省務會議通過粵戰時施政綱要更委雲浮潮陽連山龍川縣長
page 5	重慶國民月會民眾分在各處宣誓
page 5	滇農行法幣不翼而飛共失二十五萬元
page 6	全港各校學生昨隆重紀念五四九龍各校聯合舉行儀式今日五五各界懸旗誌慶
page 6	婦女節制分會募捐
page 6	失學難童救委會小學教師豋記今日起分在港九澳舉行各學校已應允借用課室
page 6	禁止迫遷條例是否繼續施行當局在考慮中有效期間至本月底告滿立法局議程將列入討論
page 6	中華廠商聯會新職員昨選出廣萬隆葉蘭泉繼任主席捐粵慰勞會短衣五百套
page 6	縫製短衣今日開投
page 7	在菲最後一戰香港隊揚眉吐氣四比一大破全菲冠軍ＹＣＯ榮照首開紀錄惠堂未曾出場
page 7	全英硬地網球賽許承基無敵手連敗英國國手蟬聯錦標有望蔡惠全亦進入半決賽週
page 7	網球雙打半決賽何李組出冷門林珍兄弟直落三輸得悽慘
