page 2	社評侵略者心勞日拙
page 3	鄂北劇戰我軍連捷新野克復形勢好轉連日共斃Ｘ一萬三千餘名
page 3	粵海之Ｘ已無力進攻西江各線被我控制增援進犯卒未得逞
page 3	在西北戰場上砲兵打游擊下晉東南某地戰地通信
page 3	雁北偽軍喬日成部反正
page 3	Ｘ在京滬線強抽壯丁訓練東戰場我別動隊活躍蘇嘉鐵路被截成數段
page 3	Ｘ機襲渝殺民眾五千前晚轟炸嘉陵江北岸美商輪公司全部被燬
page 3	渝天主教堂被炸主教發表演說詳述Ｘ機投彈情形
page 3	天主教神甫明日對歐廣播講述Ｘ機Ｘ行
page 3	Ｘ軍傷兵源源由漢運滬
page 3	粵省府會議決定分設強民工廠限定明年禁絕烟毒
page 3	Ｘ機狂炸翁源豫湘浙亦有空襲
page 3	邳縣克復縣長進城辦公
page 3	生產品成本會議昨日在渝閉幕
page 3	黔省壯丁風起雲湧從軍
page 3	英美兩國注視鼓浪嶼事件開展昨有大批同胞被捕滬租界問題仍嚴重
page 3	東北同胞在晉反正投誠
page 3	楊光泩被盜損失十萬元
page 3	法報同情之聲認我抗戰到底必操最後勝利
page 3	平津缺雨Ｘ強迫植棉迄今未播種
page 3	英勇可風一等兵趙德勝在晉智創Ｘ軍
page 4	英土同時宣布決定成立協定現仍在進行談判中兩國議員熱烈歡迎
page 4	美陸軍當局加強沿海防禦力擬擴充十八個砲隊
page 4	美洲國家同情民主國墨總統謂歐戰如爆發將對民主國堅決援助
page 4	國聯將討論盟約修正問題東歐國家傳擬發動將會員國分為兩類
page 4	美國的中立法這個暗中幫兇的東西輿論都認為應該修正二紐約通信
page 4	英軍訓法案授權政府一款眾院已予通過
page 4	西國民軍政府向法荷借款有關政治迄無成議
page 4	美巴圖改善文化經濟關係赫爾否認外傳軍事同盟謠言
page 4	英國防調整大臣推崇蔣總裁稱為第一流軍事領袖中英協會年宴之盛況
page 4	德軍集中波邊境但澤德人竟暴動戈培爾著文肆意恫嚇波政界否認日本調停
page 4	地中海東岸英法努力空防敘利亞舉行防空演習巴勒士丁亦從事準備
page 4	紐約世博英國館開幕英使廣播演說稱頌英美友誼
page 4	美海軍要人李海告退改任波多黎哥總督
page 4	傳希保邊境發生衝突雙方互有死傷
page 4	立陸軍總司令由波返國波立合作加強
page 4	南國攝政謁見教皇並參觀義青年體育軍事表演
page 4	戈林由義啟程返德
page 4	英商業代表團抵雅典與希臘當局晤談英羅商務協定內容公佈
page 4	法議會通過信任政府案贊助達拉第外交政策駐西大使傳有倦勤意
page 4	軍人干政Ｘ軍部越越俎代謀
page 4	英美物物交換英政府決意促其實現以便促進兩國間邦交
page 4	越南當局增強防務國防特別會議結果決定開源實行增稅
page 4	Ｘ佔鼓浪嶼租界
page 4	一個小消息
page 5	會城我軍乘勝追擊江門殘Ｘ準備巷戰岡州新鶴江佛三路交戰均烈
page 5	汕市長函謝英艦救助渡海市民
page 5	Ｘ艦駛離汕海汕市面漸呈安穩各界慰問炸傷同胞免稅洋米額滿見遺
page 5	潮汕鐵路明日實施破壞
page 5	漁鹽視察團公赴東西海工作
page 5	中山縣境山雨欲來澳門市謠諑繁興奸人陰謀意圖恐嚇岐關車道已加破壞
page 5	朱暉日繼長建廳省營工管處已恢復發展省內公路交通
page 5	粵財廳整頓稅收各縣稅損征收處規程決定
page 5	潮安保釋監犯
page 6	建設新香港本港將設市區設計委會組織法草案業經擬定有系統的從事新建設
page 6	港府華員會紀念大會今晚在華人行舉行戲劇組公演鳳凰城
page 6	前東華醫院首總理譚肇康被車撞傷前日肇事迄昨昏迷不醒現由的比教授等診治中
page 6	美人對華觀感均謂中國必得最後勝利陳翰笙由美返港談話
page 6	中環街市攤位虧本者多租金較前有昂至五倍者十餘牛羊檯兩月後停業
page 6	中旅義演收入共一千餘元
page 6	生活合唱團
page 6	杜絕時症蔓延取締污穢樓居潔淨局人員出發調查嚴諭食物店注意衛生
page 6	南越中學主辦音樂會今晨在娛樂舉行音樂家薈萃一堂
page 6	抗戰建國旬刊
page 6	太平山街昨日火警
page 6	春草體育會
page 6	嶺東中學演劇助賬明晨在普慶舉行
page 6	各區路燈工務局繼續改善
page 6	滬流亡學生籲請各界援助在滬因懸旗被迫離境擬赴桂工作川資無着
page 7	旭和盃賽而未決一比一和局終場海軍勇猛南華會先得後失錦標誰屬星期三再分高下
page 7	全港網球名手義演車輪戰觀者寥寥豈是曲高和寡生意冷落深代難胞喊寃
page 7	昨日公開棒球聯賽中華勝香港會結果八比六陳芳林業最出色今天有兩場南華逢戰西洋會
page 7	新西蘭雙打戰勝英國二比一佔居優勢
page 7	赴會指南
page 8	第三次五年計劃中的蘇聯電影
page 8	抗戰中中國電影的兩面玨宗
