page 2	社評鼓流嶼事件與英美法
page 3	英美法聯合對抗侵略水兵在鼓浪嶼登陸英海軍司令對日提警告美對滬租界嚴拒日要求
page 3	渝市善後積極辦理中對Ｘ機轟炸我城市英議員又提出質問
page 3	我衝入徐州焚燬Ｘ偽機關城內情形混亂
page 3	五月上半月各戰場戰果共計斃Ｘ一萬八千名
page 3	滬報之厄運因刊載蔣委員長訓詞文匯等四家遭受處分
page 3	Ｘ軍俘虜著文述感謂來華係受欺騙
page 3	華北Ｘ軍破壞外僑商務英將再提強硬抗議
page 3	甘省兵役行政會議
page 3	豫鄂我續獲勝利全線進擊克桐柏
page 4	英內閣通過致蘇聯新覆文法國向英提新建議蘇土秘密訂立協定
page 4	英擬在巴勒士丁建一獨立國猶人反對舉行示威美或被迫出面調解
page 4	齊亞諾後日抵德簽軍事同盟聞墨索里尼唯一條件須德對波蘭和平談判
page 4	美洲大陸竟發現罌粟國聯鴉片顧委會曾討論鴉片問題
page 4	芬瑞挪三國拒絕德建議一致同意嚴守中立
page 4	美眾院外委會辯論中立法白魯姆草案爭執甚烈將從新起草折衷方案
page 4	美駐日大使格魯返國今晨由橫濱啟程
page 4	英國對德正考慮覆文日圖與英訂不侵犯條約英外次表示似無此必要
page 4	但澤防務波積極增強陸軍總監將赴羅波的海但澤站上發生撞車怪事
page 4	英名流訪外相望國聯切實援華郭泰祺大使今日離英與顧大使同赴日內瓦
page 4	加人歡迎英王盛況空前歡呼之聲終日不絕羅柏任美駐加公使
page 4	短評英名流的珍貴同情
page 4	滬租界摧殘輿論
page 4	僑胞應踴躍登記
page 5	我軍大舉增援鶴山四邑戰事形勢漸穩汾水江Ｘ我遭遇發生劇戰小黃圃前午將登陸Ｘ肅清
page 5	小黃圃殘Ｘ肅清
page 5	十七日兩度濫炸汕頭血債死傷七人狀極可憐
page 5	粵省府清理積案省務會議通過清理施行辦法歷任縣市局長均須辦清交代
page 5	增城之Ｘ蠢動再進犯福田正果兩路用兵均遭打擊
page 5	閩永定縣長出巡失蹤同行已死三人
page 5	惠陽隊長撤職
page 6	華人自動登記開始具有專長者均可登記四華代表發告華人書
page 6	羅天樂教授呼籲制裁侵略正義自由和平重見遠東惟制止暴行然後能實現
page 6	英殖民部注意販賣小童情事已令香港馬來當局合作防範販賣人口以充賤役
page 6	南洋惠僑救鄉會歡迎文森服務團主席致詞希望動員農村婦女吉隆坡全僑服務團動程歸國
page 6	節食節用運動昨日結束共得二千餘元分作賬濟戰區難民之用
page 6	陶淑女子中學舉辦慈善賣物會明後兩日在該校舉行為義學籌款救濟難童
page 6	督轅昨舉行授勳典禮
page 6	香港馬會
page 6	救亡劇團
page 6	三樓檔販
page 7	港菲網球表演賽山查茲不敵大徐雙打賽中林珍兄弟遭敗北小徐究差一籌安邦頗出色
page 7	世界一英里跑決鬭伍特遜將戰克銀漢
page 7	上海表演賽秩序已定卡遜將戰山查茲安邦相逢李國藩
page 7	英國桑會單打賽蔡惠全獲錦標決賽中力克英選手麥菲路
page 7	本屆世運大會西班牙亦參加
page 7	英國高爾夫賽梵恩斯亦參戰
page 7	重量拳擊法爾勝格恩斯
page 7	滬華聯田徑隊選出二十九人
page 7	暹匯稍縮澳匯不動其餘滙價均略漲英美市俱趨淡申匯買賣仍少
page 7	八九金市略淡且靜賣多買少價又低降
page 7	股票市仍穩靜買戶雖多但給價低廉全日成交僅五萬餘元
