page 2	社評日本反英運動的嚴重性
page 3	晉南大捷克復平陸鄂中戰局益趨穩定
page 3	津租界形勢嚴重英僑協會電本國報告二犯人引渡Ｘ仍不滿
page 3	丁克勒事件英抗議內容要求日方制止反英運動
page 3	被扣英武官尚未釋放古巴無罪返平
page 3	從航空工業說到日本空軍力量
page 3	青參議會業於三日開幕
page 3	偽軍被俘百餘隊長槍決彭逆東園畏懼襲擊夜間不敢留居市內
page 3	法幣問答二
page 3	Ｘ機數十架昨分襲重慶成都渝市上空發生空戰我機神勇又建大功
page 3	天津白俄助Ｘ人為虐
page 3	晉省偽軍反正投誠殺Ｘ
page 4	英首相外相演說引起國內不滿各黨一致力予抨擊不容妥協政策復活
page 4	四百萬人歡呼中英王抵紐約參觀世界博覽會
page 4	參觀哥倫比亞大學
page 4	抵羅斯福總統私邸
page 4	英國新方案法大體表示同意史德隆今日携往蘇聯德國正竭力從事破壞
page 4	記四十八甲一個漢化中的夷人部落續西康踏入記一
page 4	電影照片運抵歐洲
page 4	日本對歐政策是想漁翁得利一位外國新聞記者的觀察
page 4	德著名作曲家七十五歲生辰希特勒親臨維也納觀劇並參加紀念會
page 4	義王室與首相積不相能對外交政策各懷意見愈演愈烈傳有決裂勢
page 4	捷克人民反德與德警起衝突貝奈斯致牒國聯會抗議德匈強佔捷土
page 4	對但澤問題波態度堅決拒絕參議會要求不減少海關職員
page 4	澳泰斯曼尼亞總理逝世
page 4	在德被逐猶人漂泊海上致電英首相請慨予安插
page 4	晉南戰事
page 4	Ｘ機炸渝蓉
page 5	南天烽火中粵軍政黨陣容一新各方均本實幹精神邁進現任軍政黨負責人職務調查
page 5	雷嗚遠神父談大戰中條山怎樣和Ｘ人爭取戰區民眾怎樣纔配做戰地服務工作
page 5	無聊舉動Ｘ艦砲擊睦洲鄉發十餘響轉舵遁去我無損失航行照常
page 5	Ｘ艦砲擊睦洲
page 5	江會Ｘ軍動態
page 5	中山加強封鎖
page 5	海口上空Ｘ機互撞飛行員三死一傷多行不義必自斃
page 5	外海Ｘ艦未退
page 5	搶救婦孺百餘人已分別教養
page 5	廉江城區被炸
page 6	中國童子軍點題回國服務團施以嚴格訓練改編就緒不日回國出發前方工作
page 6	中華巴士增設第五號Ａ路線入來跑馬地與石塘嘴間第一第二號路線略更改
page 6	華人登記已有五百餘人月底宣告截止
page 6	華商總會建築低價住屋便利薪給階級
page 6	予打擊者以打擊蘇日風雲影片觀後記
page 6	洪流劇團昨日抵港
page 6	中賑會捐款廿萬另闢建孤軍營營址擇定九龍醫院附近落成後馬頭涌孤軍遷入
page 6	衛生技術人員登記
page 6	霍亂症方興未艾當局積極遏止繪製壁畫俾使市民注意何甘棠星期三廣播講演
page 6	華探尹文國公殞命
page 6	山村道數十住戶聯合反對加租相距十一日竟加租兩次集合款項準備訴之法庭
page 6	到清水灣去學賬會生活部今日前往業聯與華員十六日舉行
page 6	中央電影攝影場今日招待文化界抗戰中國舉行獻演式十五日起在中央公演
page 7	南華遠征足球隊力克西貢南圻乙結果三比二景祥雙喜臨門慌亂失措南圻乙倒戈自殺
page 7	棒球運動百週年紀念美國的一　演進史
page 7	港滬埠際足球賽今年恢復舉行比賽規則將有數項更改
page 7	嘉山棒球場球人談球經
page 7	今晚女子籃球賽中華出戰西南雙方實力接近預料必有鏖戰勁旅知行對抗新軍華雄
page 7	華北烟葉大量傾銷本港四個月內進口三百萬磅今年售價亦較去歲略漲
page 7	今年本港金銀紛紛外流
