page 2	社評從英日對峙論英蘇談判
page 3	對封鎖津租界事件上英國發表重要宣言堅決聲明保護在華利益英將宣佈廢止英日商約
page 3	美國態度注視局勢開展
page 3	食糧運送發生嚴重困難
page 3	租界以內商業全部停頓
page 3	英人被搜白俄備賞苦楚
page 3	義報譏諷德報幸災樂禍
page 3	血肉築成的滇緬路中本報記者滇緬察記二
page 3	某將軍論湘鄂戰局Ｘ無力再圖進犯攻取長沙困難太多我在沙宜準備充分
page 3	滬申報編輯瞿紹伊被擊傷開槍者被捕係受囑行兇
page 3	中央電台今晚廣播節目
page 3	上海導報有人開槍投彈僅傷娘姨一名
page 3	美法兩使晉謁蔣委員長
page 3	成吉思法陵寢隆重遷移中十五日過榆林南下中央派員沿途護送
page 3	偽警英兵在滬西門法
page 3	南林橋附近激戰我空軍飛晉炸Ｘ
page 3	滿門忠義姚孝潮侄從戎
page 4	英蘇法外交要員賡績舉行談判巴黎方面態度樂觀德方傳將包括遠東
page 4	英貴院議員反對助紂為虐限制對軸心國原料輪出英法軍事實行密切合作
page 4	保國總理定月底訪德
page 4	美擬向國外購買軍需品政府決向國會要求增撥巨款
page 4	Ｘ機橫行不法蓄意催殘文化蘭州古剎普照寺被炸經典佛像亦同罹浩劫
page 4	劉文輝與西康續西康踏入記一徐盈
page 4	國勞會議席上朱學範演說責各國放縱日本侵華致世界和平亦受威脅
page 4	羅斯福總統致電英王話別不列顛皇后號輪向英國破浪疾進中
page 4	何部長報告軍事情形第二期抗戰開始以後一天一天接近着光明
page 4	羅外長晤希首相商合作問題英羅各成立貿易公司俾互相協助發殿商業
page 4	對德波糾紛教皇圖調解教廷代表謁波蘭總統並向柏克提某種建議
page 4	潛艇的不幸法亦沉一艘鳳凰號在甘蘭灣練習下潛不起撈恐無望
page 4	美反間諜案眾完海委會已予以通過
page 4	英德債務協約附款於前日在英簽字將範轉擴至蘇台德區
page 4	阿王索古將在英作久居
page 4	廣州德總領升任驢唇不對馬嘴兼署代辦職務
page 4	英駐法大使傳有倦勸意
page 4	德海軍演習參加軍艦約達百艘挪威漁人魚綱被毀
page 4	美國的態度
page 4	從叛親離
page 4	德義日計劃商輪合作分別負責糧食運輸
page 5	Ｘ砲轟睦州三江我軍奮勇夜襲江門一度衝入白沙公園斃Ｘ甚眾
page 5	戰雲籠罩的中山沿海視察記五
page 5	粵游擊總部日內將在某地成立
page 5	Ｘ犯潮陽澳頭激戰斃Ｘ十餘我傷兩兵
page 5	粵省府舉行第四十次會議中山決疫臨時中學
page 5	三水漢奸被刺
page 6	中央研究院三種獎學金本年應徽學科社會科學地學工程三類華僑李俊承捐救國公債十萬元
page 6	中華義學今日行開學禮校址及校務主任編定港九兩區共四十五枚
page 6	商會新主席黃茂林呼聲甚高
page 6	文化事業社七七紀念籌欵慰勞將士
page 6	學賑會女學團今日正式成立
page 6	旅港閩僑定期舉行國民宣誓
page 6	有錢出錢吳遂志獲得馬彩慨捐五百元散賑
page 6	港府修正危險物法例嚴密管理貯藏石油
page 6	兒童保育會遊藝大會紀盛何東爵紳捐資蓋搭攤位港督親自到場惠及難童
page 6	佛山輪昨日被釋回港
page 6	粵省參議員金湘凡返港談韶地各長官均極刻苦對抗戰前途非常樂觀
page 6	銅鑼灣大坑村前發生鬥毆三合會黨逼人入會不遂村人出與抵抗多人受傷
page 6	關於迫遷事件簡化投訴手續律政司擬組設負責機關俾免住客負擔法院費用
page 6	記者公會報際象棋賽比賽章程經已擬定
page 7	女子籃球義賽知行隊奪得冠軍中華後防空虛十八比四十招困乏術榮棠槍法利害獨獲三十分
page 7	英法台杯勝負關鍵的一戰施愛斯勇氣百倍力左法名將地斯推摩
page 7	春風上訴失敗取消比賽資格籃球聯會昨開緊急會議
page 7	昨日棒球聯賽中華打來出神痛擊香港會結果十比二
page 7	長跑之國芬蘭選手又創三項世界紀錄
page 7	明年世運會設電視廣播
page 7	外匯牌價一致不動英美匯市俱沉寂申匯市況穩靜買賣仍屬稀少
page 7	一週間股票市漸趨下遊各股價格一致低降全週成交較前倍減
page 7	八九金市仍穩但靜買賣俱少價格略降
