page 2	社評日閥的最後掙扎
page 3	晉南我軍衝入運城Ｘ掃蕩企圖又被全部粉碎
page 3	某經濟專家談話法幣基礎極穩固現金準備仍遠過Ｘ方望國民勿投機自陷損失危險
page 3	陸大考察團過桂赴前線
page 3	邊境衝突聲中蘇日戰鬥力的檢討續
page 3	汪逆末路王克敏談話拒絕插足謂對汪辦法未能同意
page 3	日方謠言謂卡爾辭職英正式否認
page 3	蒙偽邊境衝突猛烈蘇聯發表最近戰況日軍傷亡逾五千人蘇蒙軍始終佔優勢
page 3	蒙蘇軍司令部發表戰事經過日軍士氣極沮喪空軍實力尤軟弱
page 3	冀南Ｘ軍進犯魯北樂陵發生激戰
page 3	Ｘ機昨襲宜昌
page 3	台灣附近又起颶風仍有襲滬可能
page 3	鄧龍光抗戰有功晉兼副總司令粵三民主義青年團委員決定即將組織
page 3	庵埠之役范排長殉國
page 3	作家訪問團一行到達洛陽
page 3	滬法租界Ｘ又架人
page 4	英日東京談判預定今日開始有田克萊琪先行晤面俾商定會議原則問題
page 4	法慶祝國慶巴黎軍隊巡行盛況空前英陸海空軍亦破例參加
page 4	英眾院三讀通過龐大國防預算實際達七萬三千萬鎊後備軍艦下月大演習
page 4	美國民意的轉變三
page 4	畢德門提議提高銀價本屆國會恐難討論
page 4	義多管閒事對散嘉克割讓土耳其竟致牒法國提出抗議
page 4	美着手興築太平洋根據地關係國防極巨限期五年完成
page 4	羅斯福闢謠與赫爾未發生意見
page 4	南國攝政下週訪英與英閣員商歐局
page 4	英波將成立軍事經濟協定英法將分別貸波以巨款但澤納粹領袖謁希特勒
page 4	英法國防要人在巴黎舉行談話
page 4	英眾議員主張對義實行報復南泰羅爾英僑被逐問題英已向義政府提出保留
page 4	他們只有疑問
page 4	傳德國軍隊開入義境
page 4	告上海有錢人
page 4	蘇日衝突前途
page 5	我軍反攻江門中山Ｘ艦艇多撤退沿海有小戰鬥形勢已弛三灶Ｘ機大增濫炸江會
page 5	我軍英勇突擊兩度攻入東莞城江村高塘現已克復壯丁助戰迫近石龍
page 5	粵各縣稅務機關實行合併七一改稱稅捐徵收處
page 5	岐關車改開夜班避免Ｘ機追擊
page 5	桂黨政軍聯席會白兼主席報告軍事訓勉職員力行節約
page 5	瘋狂舉動Ｘ機連襲四邑輪渡船夥搭客多人被殺
page 5	江洪搶救難童
page 5	中山米價跌落
page 5	惠陽匿槍被轟
page 6	應付非常時期本港將施行服役法下星期立法局會議討論英籍壯年男子一律徵募
page 6	九龍城蒲崗道昨晨發生搶案五賊冒充相識賺門行劫損失銀物二百八十七元
page 6	戰場的一角郁風女士來港後談話
page 6	果販義賣烈日不憚勞苦僑胞多熱心贊助
page 6	獻劍委會昨招待新聞界
page 6	連日苦熱四十三年來所未有最近期間難望消除
page 6	化身姑娘三集現在中央開映
page 6	反納粹
page 6	法領昨慶祝法國慶日港督參加致賀昨日為法國國慶紀念日
page 6	薛覺先等再度義演為婦女慰勞會籌款婦女慰勞會為籌款充實
page 6	家庭慘劇大婦斬斃夫妾清晨揮刀亂砍原因不明疑兇手患神經病已送院
page 6	港九歌泳界聯合紀念聶耳十七日晚舉行演唱大會全港歌泳界聯合先聲
page 6	派報公會新職員今日就職
page 7	北美帶台杯第二週澳洲迎戰菲律濱十四日在洛杉磯開始比賽澳勢力雄厚菲將步墨後塵
page 7	德權鼎小型球週內賽程明天有五場第三屆德權鼎公開團體
page 7	游泳之意外及救生
page 7	三校排球隊義賽月底重演
page 7	男女籃球頒獎賽今夜在中青胡文虎夫人主持頒獎
page 7	公開棒球水兵戰西洋
page 7	輕重量級拳戰康恩最後獲勝比田那佔上風終告失手演出緊張二萬拳迷滿意
page 7	夏令足球賽今天有一場
page 7	夜遊憶語
page 7	叻匯牌價漲半咽其餘匯價仍無變動英美匯市況仍屬不振申匯市穩定買賣尚多
page 7	港股票市況昨日仍甚堅穩買戶多集中特殊數種全日成交八萬三千元
page 7	八九金市稍穩但靜買賣仍不多價微漲
