page 2	經濟國防線之門士
page 3	東江我軍衝入增城花縣Ｘ軍向平山侵犯受重創豫南又起激戰我軍猛攻信陽
page 3	于斌在芝加哥備受各界歡迎史林講演公開痛斥暴日希望各界盡力援助中國
page 3	太平洋的防禦問題
page 3	蘇聯空軍大勝一次擊落日機十四架
page 3	汪逆對滬報續施恫嚇暴徒襲擊中美日報線索聞已完全探明
page 3	北平素描
page 3	天津成人間地獄租界四周密佈殺人電網我窮苦同胞每死於非命
page 3	粵黨政軍訓練團本期即將結業粵各地豐收米價平穩
page 3	英對遠東駐軍擬統一指揮將添設總指揮一人並增強新加坡實力
page 3	畢德門擁護廢除美日商約希望眾院能早付表決
page 3	Ｘ機肆擾
page 3	嘉善之Ｘ中伏受創竄逃
page 4	英首相定今日發表重要報告說明對東京談判態度並同時發表共同聲明
page 4	英日正式會議預定今晨開始舉行討論所謂具體問題
page 4	平沼大言不慚謂欲將基本原則推行及於中國全部
page 4	傳英內閣將擴大組織阿特里辛克萊均將被邀邱吉爾入閣事尤受歡迎
page 4	向暹羅當局進一言二應該與中國攜手共求進步
page 4	德國對蘇聯盡討好能事竭力煊染蘇德商務談判並謂將以鉅款貸予蘇聯
page 4	克萊琪傳將繼漢德森調任駐德大使
page 4	義陸軍演習下月三日起舉行
page 4	英當局否認以金錢換取和平向德貸欵事毫無根據德國仍堅持收回但澤
page 4	英法波三國商軍事合作
page 4	但澤準備忙男子盡被徵
page 4	猶人音樂在義被禁
page 4	對莫斯科談判英政界樂觀謂英日對峙狀態漸減退蘇聯態度或可較妥協
page 4	英援助希伊從事擴充軍備英希借款談判已成功並將以飛機售予伊朗
page 4	平沼的話
page 4	慰上海同業
page 5	西江游擊活躍三水西南斬獲甚眾廣三路橋梁路軌多破壞江門市Ｘ兵棚被我焚燒
page 5	李漢魂報告赴渝及出巡經過中央氣象蓬勃足資地方借鏡動員工作待改進生活應改造
page 5	紀念八一三獻金運動澳門僑團籌備舉行
page 5	湘桂鐵路本年底可通車黔桂鐵路測竣
page 5	苦難中的瓊崖下
page 5	Ｘ機昨晨下毒手平湖站死傷數十聖約翰醫院前被炸
page 5	恩平組暑工隊
page 6	國立各院校統一招考新生香港分處招生章則公佈定八月七日至十日舉行
page 6	燈火管制前夕當局加緊準備新警報機運到裝置九龍屆時有數百防空員出動
page 6	飛機油漆我政府定製大幫由某大工廠承造
page 6	新界菠蘿種植出產情形試種美國種已告成功年來產量少但價仍廉
page 6	中藝救亡演劇隊下月回國宣傳或將在港臨別公演一次戲劇界籌備開大會歡送
page 6	前晚筲箕灣暴徒尋仇行兇李蘇被斬重傷昨早斃命林子明獨力捕獲五疑犯
page 6	華人機工會三十一週年昨日開會慶祝犧牲現在造福後世子孫精誠團結擁護最高領袖
page 6	犯罪案件激增監獄患人滿短期動工加建一層
page 6	廣東戲劇協會第一劇團昨招待文化界三十日起公演
page 6	本港蛋價飛漲每元僅購廿枚汕尾封鎖內地來源短少其他菜蔬價格亦略高漲
page 6	香港旅行社青山旅行團八月六日提早出發
page 6	本港歌詠界聯合研究會歡迎歌詠團體參加定三十日開籌備會
page 6	抗戰中國太平戲院今日起映
page 7	昨天棒球聯賽長勝軍再破南華宿將梁鄭由澳趕來助戰亦無補時艱美兵十三比九力退香港會
page 7	絲湯瑪勇克頑敵記
page 7	南華回師檳城打勝馬來亞三比一陳劉羅各建一切
page 7	美國田徑名將多人將遠征英倫參加白城國際田徑大賽一行十人克銀漢未入選
page 7	北美帶台盃古巴佔先
page 7	走馬燈下
page 7	告給游泳的人們關於渡海泳在港海僅得四條水線
page 7	本年五個月來我國茶葉出口暢旺輸出總額計達國幣六百餘萬日本茶葉出口遠落我國之後
page 7	國幣價格低跌影響本港商業經營洋貨入口者被打擊國產輸出反因此而旺盛
page 7	過去半年內洋米輸港銳減較去年同期減二百餘萬担
