page 2	社評日本為什麽中立
page 3	義決守中立
page 3	法德邊境發生激戰英海空軍大隊出動德海軍根據地被炸受重創齊格菲防線被突破十二處
page 3	波空軍顯威轟炸佛蘭克福北線軍事亦獲大勝騎兵衝進東普魯士
page 3	巴黎首次警報南北非洲同情英法倫敦情形甚為平靜
page 3	英王激勵三軍此次出戰名正言順捍衛國土維護正義
page 3	張伯倫告德人英非對德人民作戰祇在打倒侵略領袖
page 3	德國民情冷淡英法宣戰人心恐慌工人醞釀反戰運動
page 3	德機到處肆虐捷克人民投効波軍開赴前線共同抗德
page 3	美報贊助英法對德潛艇襲擊商輪認為危及美僑安全
page 3	歐局拾零英法兩國大使仍未離開德境
page 3	希臘科斯第輪誤觸水雷沉沒
page 3	羅保兩國表示願守中立態度
page 4	長治旦夕可下我軍嚴密控制外圍Ｘ方增援猶圖反攻
page 4	英在華各機關進行戰時準備旅滬猶人亦受影響
page 4	程案四嫌疑人昨已在津引渡
page 4	九四之晨空戰速寫重慶航訊
page 4	尼赫魯離渝各界歡送者千餘人
page 4	浦東血案三個漢奸被殺
page 4	政院會議浙財廳長辭職由胡善恒繼任
page 4	汪精衛與國民參政會張伯苓在渝廣播講演
page 4	林逆函大美晚報誣朱惺公為共黨
page 4	滇緬電話即將正式通話
page 4	旅滬美僑電羅斯福請與希特勒作戰
page 4	農學年會
page 4	在游擊區財產勿向Ｘ偽登記粵省府重申禁令
page 4	吳志騫被刺詳情係汪逆暴徒所為
page 4	留英學生昨日一批抵港
page 4	義守中立
page 4	無恥之尤
page 5	Ｘ圖侵犯三埠新會古井告急三江失陷我開始反攻龍泉大火Ｘ再度騷擾
page 5	粵北增從線我軍大捷白田岡血戰殘Ｘ敗竄
page 5	湘桂路上
page 5	暹羅又擬修改外僑入境例費入口及居留費將增至五百銖
page 5	粵縣政人員訓練所成立
page 5	游擊隊火攻石灣焚燬Ｘ糧倉夜襲佛山車站亦告得手
page 5	西南棉產可望豐收防治害蟲成效卓著
page 5	今日的廣州灣
page 5	戰區學校學生分發後方借讀粵教廳開始辦理登記
page 6	維持戰時治安港僑自衛團成立籌委與行商代表昨開會通過組織大綱辦事細則
page 6	港當局公佈郵件檢查辦法信外寫付郵人姓名住址註明係用何種文字書寫
page 6	列席代表貢獻意見
page 6	華商籌賑會粵劇籌賑林培生客串要角
page 6	參加團員須加審核
page 6	自衛工具以棍代鎗
page 6	諾貝爾下令統制遠東英輪已在港設立統制商輪處本港戰時交通消息彙誌
page 6	逃入英界難民急待各界救濟多數露宿街頭慘不忍睹難民等已推出代表呼籲
page 6	學界消息
page 6	粵務僑務處長周雍能定今日離港返任
page 6	法巡洋艦昨午駛抵本港
page 6	白崇禧歡迎暹僑回桂開發
page 6	捷克僑民可不受拘留待遇
page 6	廉價西書各大學生返國就學可在港購齊應用書
page 7	台盃却令治賽澳洲捧走大銀盃三比二美與錦標無緣
page 7	南遊日記
page 7	老惠　鴻
page 7	初戰二比三吃敗仗
page 7	九一八排球賽秩序排定昨開代表會
page 7	拳壇憶舊錄小牛頓驍勇舉世無雙雙目失明猶力戰頑敵
page 7	南華重返吧城兩奏凱歌吧選手西爪哇輸二比一馮景祥黎兆榮各得兩球
page 7	瑣事記
page 7	英足球聯賽宣佈停止各項球賽延期
page 7	英法向德宣戰後港匯市安渡難關昨日對美匯市先穩定後略緊德匯仍無牌價申匯市况穩定
page 7	美匯繼續緊縮八九金再飛漲最高時曾到達八十二元三毛投機者轉移視線市况不活躍
page 7	昨本港股票市陷入停頓狀態投機者多取靜觀態度全日成交僅一萬餘元
