page 2	社評日外務省風潮的內幕
page 3	湘戰告捷舉國騰歡蔣委員長犒賞有功部隊我沿湘鄂路繼續挺進中
page 3	國慶紀念前夕一片祝捷聲各地均籌備慶祝
page 3	正氣磅礴北戰塲上一排長彈盡負傷不退却
page 3	日機昨擾桂在桂林西南郊投彈
page 3	劉文輝抵蓉晋謁蔣委員長
page 3	滬杭路北上客車在硤石附近傾覆江南我軍極為活躍控制杭郊猛撲嘉興
page 3	參觀機關報兵演習重慶一日航信
page 3	雁門關外的偽軍反正敬亭寄自西安
page 3	南昌日軍困厭戰被槍決
page 3	滬中美日報定今日復刊
page 3	美國陸軍將舉行冬操陸軍員額擬予增加
page 3	美主力艦上發現陰謀案
page 3	譚邃病逝
page 3	修正中立法下週可通過
page 3	港澳招收特務人員軍委會發表重要聲明謂奸宄冒名決予嚴究
page 3	滬總匯報組織原來如此
page 3	南路慰勞團昨日行抵衡陽
page 3	晋南日軍圖西犯襄陵吉縣發生激戰
page 4	希特勒和平進攻英恐無成功希望美國無意出面斡旋
page 4	蘇聯要求芬蘭派代表談判蘇立談判正進行中
page 4	德與愛拉亦將締約
page 4	英購料代表團俟中立法修正後即由加啟程赴美
page 4	西線英法兩軍合作極為圓滿英大批空軍陸續開法德繼續增兵荷比邊境
page 4	戰時的日本五
page 4	逃出了歐戰的砲火二
page 4	輪舯一艘又被德潛艇擊沉
page 4	墨索里尼演說未提和平與戰爭
page 4	巴爾幹形勢已漸趨穩定羅匈兩國同意復員蘇土協定傅已簽字
page 4	英商業團不久將抵南國
page 4	法共產議員二十六人被捕
page 4	慶祝孔誕
page 4	東歐的現勢
page 4	美國航業
page 5	中山戰事猛烈我軍退出石岐扼守附近高地展開游擊戰市內大火情形極混亂
page 5	粵省籌謀增進後方生產策動國民經濟建設
page 5	反攻寶安我軍昨晨襲擊南頭迭次戰役日軍死傷重大連遭慘敗再電廣州乞援
page 5	湘南煤礦局緊採煉工作後方燃料可無虞缺乏
page 5	西大文法學院在抗戰中
page 5	暹羅華僑銀行宣佈結束營業存款部份委託渣打銀行代理亞洲工商銀行業已繼之開幕
page 5	滇越路火車肇事經過因機車控制器發生障碍車內汽油焚燒死傷多人
page 5	菲粵僑團體聲討汪逆擁護抗戰國策誓爭最後勝利
page 6	明日國慶大會集中皇后戲院舉行各機關學校將一律放假郵局辦公時間昨已公佈
page 6	中國新聞學院昨舉行畢業典禮張一麐發證書並致訓詞本屆畢業生共六十餘人
page 6	派報公會慶祝六週紀念
page 6	留英公費生本屆暫停遣派教部指定職校辦訓練班收容戰區學生一律免費
page 6	今日孔聖誕辰孔聖會開會紀念歡迎新同人及頒發獎品各行商學校亦有休假者
page 6	布里克康夏在星觸水雷幸脫險安全入港
page 6	會文堂書局全部圖書四折繼續減價一週
page 6	港義勇軍砲兵隊將大舉演習
page 6	日魚運港傾銷經冷藏已兩年毫無滋養日艦焚我漁船變本加厲
page 6	石岐失陷後影響魚菜運港本港每日出產暫可挹注難民扶老攜幼紛紛來港
page 6	美植物學家範爾才來港將造帆船赴南海
page 6	大地之花雙十義演全部收入貢獻政府
page 7	南華南旗開得勝聖約瑟兵敗嘉山六比三馮二叔獨中三元
page 7	南遊日記
page 7	星聯女籃球兵今夜戰征菲隊七時半在中青籃球房昨在嘉山勝南華
page 7	華人水運會閉幕陳震南出色千五百米翻新全國紀錄賽完舉行頒獎歡呼散場
page 7	週年陸運大會昨晨開始舉行成績美滿創造新紀錄
page 7	仿林女籃球隊今日征澳一行十四人
page 7	德權鼎小球賽昨日六戰績
page 7	英印棉紗來源銳減日本及上海棉紗乘機活躍今年各國進口近二千萬元
page 7	過去一週間股票市況好轉成交略增價格亦稍漲
