page 2	社評德國戰爭持久力的檢討
page 3	滬越界築路案工部局願續談愚園路上一美僑開槍探匪在安和寺路格鬥
page 3	滬郊又緊張滬杭線上我軍活躍
page 3	三個叛逆將在青島會面
page 3	蔣委員長前往某地巡視
page 3	日機襲陝甘
page 3	張繼明日飛渝
page 3	中航巨型機昨由渝飛仰光
page 3	蘇聯駐日大使赴日履新途中
page 3	中樞要人組織孔教學會孔院長任會長
page 3	王禮錫靈柩在龍門安葬
page 3	圓瑛法師傳已架往南京
page 3	須磨否認談判謬稱無意與英美開談新醜劇即將搬演上場
page 3	太平洋學會行將召集外交協會發表聲明為維持東亞和平秩序英美應合作制裁日本
page 3	顧翊群返粵報告出席經過
page 3	呂梁山兩旬殲滅戰西犯日軍勢軍勢成弩末
page 3	長治一帶我連日積極掃蕩
page 3	湘贛之線日軍仍蠢蠢思動
page 3	豫魯我軍進擊獲勝利日軍屢犯均受創
page 3	湘捷餘音我軍獲勝利品
page 3	一個有歷史意義的座談會三
page 4	德國立體進攻發動恐尚有待聯軍實力正與日俱增各中立國亦備無患
page 4	法總理達拉第視察西線防務前方冰天雪地影響作戰
page 4	德空軍如濫炸聯軍必予報復英機冒險飛德南部偵察
page 4	芬民氣激昂舉行各種愛國遊行代表今日啓程赴蘇
page 4	德與瑞典經濟談判下月二日開始
page 4	捷克人心不死國慶日民眾示威遊行與納粹警察發生衝突
page 4	巴爾幹問題重心轉至羅馬尼亞少數民族領袖在德活動蘇方否認紅軍開入羅境
page 4	土耳其國慶全國熱烈慶祝
page 4	東京美日協會席上格魯大使演說全文
page 4	燧石城號行蹤美仍未探悉華盛頓官方對蘇聯態度認係故意留難極表不滿
page 4	國際風雲日緊美擴充海空軍眾院今日討論中立法孤立派承認可望通過
page 4	義法西斯黨進兵羅馬紀念墨索里尼演說不涉國際局勢
page 4	戰局大勢
page 4	須磨的妄言
page 4	節約建國儲蓄券
page 5	日軍進犯三埠蓮塘附近激戰中我軍實行封鎖淪陷區瓊島興永市日軍受創
page 5	星洲華僑音樂會三百五十人合唱英美印僑亦均參加表演籌得賑款達國幣五萬元
page 5	東京美日會議席上格魯大使演說全文
page 5	英議員主張開放長江陳嘉庚著文評論英主持正義當不與侵略者為友我抗戰到底國策絕對不能動搖
page 5	鼓勵華僑回國從戎廣西規定優待辦法
page 5	川動員委員組織範圍擴大
page 5	汕頭災情慘重在日軍鐵蹄下同胞無法生活人民流離失所籲請各方救濟
page 5	渝市財政刁培然談整理經過
page 6	港府組特委會研究所得稅草案華人代表均持反對態度立法局會議將提出意見
page 6	青年記者學會成立週年紀念會到張一　及會員等七十人理事會報告各組一年工作
page 6	節約建國儲蓄券明日起在港發生儲蓄辦法昨日全部發表分甲乙兩種手續極簡單
page 6	中山災情調查受災區域在一二四等區慘禍為開埠以來所未有
page 6	倫敦來客目擊英艦砲擊潛艇一商輪先被敵潛艇炸沉英輪由菲來港途中演習遭遇戰
page 6	深圳河沿岸難民將成餓殍稀粥兩餐現亦無法維持亟盼港中僑團設法救濟
page 6	國語研究社擴充學額續招學員
page 6	中國工合運動合作社已達十一萬所國際協會昨日在港會議
page 6	東寶青年組戰地救護隊
page 6	難童工讀院在大埔墟租得院址可容納百餘人住居工讀希望各慈善捐購用品
page 6	九龍旺角汽車學校召第七八期學生
page 7	港星女子籃球隊今朝出發征菲預計留菲半月比賽約六場胡好夫人領隊一行十四人
page 7	雛鳳合宿訓練應付未來大戰主帥德輝腳傷已愈重上火線吳用試擬新戰陣
page 7	足球新聞
page 7	籃球友誼賽新亞勝長虹
page 7	昆明航校運動會各項成績美滿公開排籃球賽鏖戰激烈
page 7	體協會乒乓單人賽今日起報名
page 7	昨夜桌球比賽南華全勝堅脫水兵慘敗
page 7	中華遊樂會網球混合雙打下月十三開始
page 7	學界籃球賽皇仁得利中南力戰不敵
page 7	旅行計劃大綱
page 7	記者體特委會昨開委員會議籃球賽善款撥送慰勞會長短途旅行定每週一次
page 7	明宵籃球
page 7	南華游藝部遊大潭水塘
page 7	乒乓界
page 7	外匯牌價美菲申縮英匯呆滯美匯沉寂申匯市況微緊但靜
page 7	八九金市仍乏生氣買賣不多價少起落
page 7	股票市況穩定買戶給價尚低成交不多
page 7	國幣續漲最高達三六一
