page 2	社評蘇日關係
page 3	本報記者視察南戰場建軍工作向前邁進晉西傳來捷報我軍克復鄉寧粵海日軍昨在龍門附近登陸
page 3	我軍再襲杭州城內外發生大火
page 3	六全三次大會聆取財政經濟報告一般政策將無改變
page 3	以上接第二版社評
page 3	蘇大使歡宴孔院長商改進貿易
page 3	英大使抵滬美大使改今日由渝乘機飛港
page 3	黔棉產增加優種試種成功
page 3	滬各團體追悼馬相伯
page 3	行政院積極實施縣各級組織法縣政計劃委員會聘定各研究組長
page 3	劉文輝定昨日返康
page 3	日本新花樣陸軍省因為米荒提倡不吃米聚餐
page 3	孫科與英朝野杯酒言歡今後中英關係較前益將親密
page 3	英法在華利益美國將予支持
page 3	天津英法軍隊尚未開始撤退
page 3	重劃滬租界防區會商無結果滬西問題一時難解決
page 3	日報抨擊美國力圖與蘇接近蘇日開始交換意見
page 4	荷比籲和失敗德國提出答覆謂英法條件斷難接受德官方重申中立保證
page 4	美積極擴軍增加飛機出產數量近週黃金輸入激增
page 4	蘇芬關係微妙蘇機屢次飛越芬境各國對芬皆表同情
page 4	前方與後方
page 4	法財長訪英談經濟合作
page 4	西線平靜
page 4	德前皇族慘殺案引起對希特勒政權反感
page 4	德國對英封鎖僅為虛聲恫嚇德國力圖衝破難關由中立國運入原料
page 4	英德一週來海戰轉趨激烈太平洋傳發現德艦中立國輪被德擊毀
page 4	英工黨首領仍由阿特裏連任
page 4	英空軍活躍德機損失慘重
page 4	菲政府成立四週紀念奎松發表演說
page 4	英商務代表抵馬德里談判
page 4	張伯倫健康續有進步
page 4	義大利企圖組織和平集團將向保匈試探意旨
page 4	日軍在北海登陸
page 4	坐井觀天
page 4	侵略者的悲哀
page 5	我空軍揚威西線游擊隊乘機出擊各處日偽大起恐慌施行戒嚴睦州日軍改守沿岸防我進剿
page 5	日機又狂炸東江交通線鯊魚涌淡水等地災情慘重投彈百枚死傷纍纍
page 5	湘北勞軍雜記
page 5	中山瑣聞
page 5	粵北日軍勢窮力蹙我夜襲太平場斬殺百餘人偽軍隊長受重傷新街日軍進擾長嶺不逞
page 5	崖縣日軍出擾遭我伏擊潰退圍剿三日殲滅日軍四十餘名便衣隊肅清樂羭村偽維持會
page 5	港嘉線沿路設交通站便利僑胞往來
page 5	三水空戰日機師屍體在九江火化
page 5	京滬滬杭兩路沿線戰雲密佈常州蘇州杭州形勢益緊奔牛附近日軍車中地雷
page 5	瓊崖海口日艦　集電白茂名各地迭遭日機轟炸
page 5	浦南我軍聯絡成功
page 5	杭州城情廂優緊張
page 6	國貨展覽會本年將擴大舉行中華廠商會積極籌備中會場將佔地十二萬方尺
page 6	港僑自衛團頒發團員必讀小冊增進團員服務工作效能詳示各團員規則及任務
page 6	日軍在北海登陸將影響本港商業雞豬等肉食來源將更少北海電報現仍照常拍發
page 6	本港食鹽漲價數倍亦因來源減少
page 6	邊界近況史密夫幫辦談一切寧謐日軍懼游擊隊不敢外出
page 6	煤斤漲價港澳輪擬聯合增加客票載腳取銷競爭以求共存共榮分配各輪貨載即可實現
page 6	華商和籌賑會撥助粵劇服務團
page 6	九龍關佈告緝獲私運白銀修正給獎辦法已自本月七日起實行
page 6	廣東文物展覽昨開籌備會議執行委員分組工作修正通過徵集簡章
page 6	保衛中華昨晨獻映今日起在中央公映
page 6	兒童保育會開始徵求會員昨晨舉行首次徵求會議擴展工作決增設工藝組
page 6	民眾救護團在港徵求團員
page 6	九龍旅業商捐助寒衣款三千元
page 7	體協會昨夜開會選出華聯代表陣線極整齊殊滿人意
page 7	菲遊瑣記
page 7	丹普西下月三日赴馬尼拉
page 7	全馬腳踏車義賽在檳城舉行巫人比特士榮獲冠軍由黃領事給獎後閉幕
page 7	學界籃球戰績
page 7	華英中學舉行全校運動大會
page 7	美國修改拳賽規則擲巾被禁止
page 7	星中華俱樂部週年游泳比賽本屆成績極佳三項破紀錄
page 7	昨夜公開籃球戰南華兄弟同奏捷
page 7	股票市仍不振最大關鍵仍在所得稅昨日成交僅六千餘元
page 7	英美匯市況均沉寂申匯牌價略縮市況穩定
