page 2	社評改進港僑教育的一個機會
page 3	空軍出動桂南助戰連日向殘餘日軍猛烈轟炸嶺東戰事猛烈我迫近潮安
page 3	冀南直薄大名長治長子激戰
page 3	誘殲信陽日軍進迫博愛城郊
page 3	粵臨時參議會電慰前方將士誓領導民眾為有力後盾
page 3	滬居大不易物價繼續上漲
page 3	傳逆窘態對刺費案兇手出言先後矛盾
page 3	粵北大戰經過下
page 3	反侵略總會允致函各國分會為我徵募奎寧丸
page 3	日反戰同盟隊員在前線工作鹿地亘由桂南返桂林談向日兵宣傳收相當效果
page 3	日軍諱言失敗終難自欺欺人由安藤作戰命令證明確有打通粵漢路企圖
page 3	傳新四軍已迫近滬郊大批日傷兵抵滬通內地航路截斷
page 3	桂民廳長邱昌渭深入日後巡視各縣民氣極為良好
page 3	日人覬覦大同煤礦
page 3	行政院會議通過設立宜昌行署
page 3	汪急圖登台對日一切惟命是從華北日軍表示置之不理
page 3	某國民黨元老論汪兆銘
page 3	以國產原料製造臘燭清華大學研究成功
page 3	經濟長城我對日實施立體封鎖南起廣西北迄綏抵抗日本經濟侵略
page 3	川厲行禁烟蔣兼督辦頒辦法五項限期戒絕私吸者槍決
page 3	中國是我的家鄉格蘭漢女士同情我國駕救護車在前線服務
page 3	綏蒙女王日內抵榆林將轉道赴渝
page 3	鼓浪嶼漢奸被擊鼓島厦門間交通日海軍搜查甚嚴
page 4	日本政潮表面化阿部內閣將倒軍部發動正面攻擊畑俊六盛氣促辭職
page 4	胡大使在美演講盼對日經濟制裁顏惠慶亦講遠東形勢北平日方準備爆發反美運動
page 4	蘇聯對英態度已漸趨緩和英國方面頗感滿意希望能有具體表示
page 4	德蘇航空線定廿一日正式開航
page 4	美政府通告國聯繼續積極援芬美議員建議財部貸款瑞典志願軍陸續開芬
page 4	美海部請國會通過造艦案鑒於歐洲及遠東局勢擴充艦隊為迫切之圖
page 4	達拉第足踝受傷
page 4	德又威脅荷蘭在邊境設遠射程大砲愛城以北遍築飛機場
page 4	日本移民的透視
page 4	鈴木松造一　奸謀家在東京去世
page 4	土商務代表團抵義商討商務問題
page 4	芬軍獲勝利擊破蘇主力
page 4	義匈舉行談話後蘇義關係轉緊義匈締軍事同盟說不確英認蘇無意威脅東南歐
page 4	美民主黨聚餐羅斯福發表演說
page 4	義運芬軍需品被德國扣留德表示此種維持中立意向不能因德義之關係而變更
page 4	西線前哨戰砲火亦見活躍
page 4	粵北大捷消息蘇聯極注意各報多以大宇登載
page 4	阿部內閣將倒
page 4	汪兆銘之禮單
page 4	美駐澳公使由滬領高斯出任
page 5	日艦砲轟小欖四邑大戰醞釀中日圖再犯大良我已嚴加戒備大批日傷兵運抵三灶
page 5	粵北我軍大捷滬人心振奮聯電統帥預祝最後勝利公債價格俱告大漲
page 5	翁源危急時一段佳話余漢謀指揮若定狂炸下化險為夷
page 5	傀儡剝削小商獻媚主子禮物太少結果並不計好
page 5	東江各縣演習空室清野軍民合作站紛紛成立
page 5	桂婦女青年紛起助戰日軍畏死喬裝我軍
page 5	粵軍管區推行抗戰教育激勵民眾踴躍從軍
page 5	西康日記三七
page 5	閩推行林政舉辦各縣保甲造林
page 5	運滬疲病日兵達一萬餘名吳淞兵房擠得滿坑滿谷民房校舍均改傷兵醫院
page 6	港督向英政府報告歐戰對本港之影響困難之環境均平安渡過經濟組織仍將保持健全
page 6	威靈頓街劫案何堅承認行劫贓款港幣千二國幣一百昨日審訊完畢詳臬定讞
page 6	教部在港舉行失學學生登記先行登記中學大學學生審核合格分發內地各校
page 6	滬伊斯蘭學校教長哈德成主教來港請馬堅博士譯解古蘭經回教博愛社等開會歡迎
page 6	三文化協會合辦藝術觀賞會今日下午一時至七時假馮平山圖書館舉行
page 6	林康侯即將由滬來港
page 6	政記公司上訴案裁定全文續
page 6	粵紅十字會前線救護隊第二隊隨軍赴桂
page 6	航空旅客行李須先一日送檢
page 6	女子蘇娥珠在共和飯店服毒經送往醫院已返魂無術遺書三封其一責其情人
page 6	美學聯會主席摩利瓦特函本港學賑會願知我國學生工作報告以便在美作廣大之宣傳
page 6	航行通告捕魚者注意
page 6	愛國藝人馬師曾即晚義演募寒衣
page 6	東華三院今日推選新總理該主席昨日發出通知凡不到院先舉即作默認
page 6	恆昌輪易主日人購得行走省澳
page 7	片滬埠際代表隊名單正式發表居比統領下月初出發
page 7	麗都贏球別記曹秋亭三箭脫空黃克厚兩度奇緣
page 7	公開女子籃球南華出仿林
page 7	旭和杯足球賽陸軍對水兵十七在掃桿埔場開戰
page 7	南華歌詠班定今夜開課
page 7	輕中量級拳賽加阿大戰擬在岷埠舉行
page 7	總會明日開堂會審七球員
page 7	美兩網球將被罰停止賽球
page 7	籃聯會改選尚未有定期
page 7	南華旅行組遊普陀寺現開始報名
page 7	小消息
page 7	美菲荷瑞牌價回漲申匯市緊後稍淡英匯美匯市況均呆滯
page 7	股票疊見上騰買胃暢旺存戶頗多拋出全日成交總值逾廿萬元
page 7	八九金市依然靜淡
