page 2	社評米內內閣與美日關係
page 3	源潭銀盞㘭均克復殘日退集廣州內圍邕欽路一帶日軍增兵千餘
page 3	鄂南猛攻大冶鍾祥已完成外線包圍洋梓殘日繼續掃蕩中
page 3	晉東南襲壺關長子城郊亦在激戰中沁陽日軍出擾受重創
page 3	香翰屏返東江談粵北日軍失敗主因其進也急故敗也速遷怒民眾大事焚殺
page 3	汪兆銘黔驢技窮謂竟致電蔣委長希圖掩飾謂如再抗戰日不能撤兵
page 3	蔣委員長通電嘉慰小學教師今後責職較前愈重大認定目標為教民努力
page 3	日本財政危機紙幣發行額逐年激增通貨膨脹乃必然後果
page 3	崑崙關一役我戰利品巳運柳州展覽
page 3	張嘉璈抵滇視察西南交通川滇公路下月一日通車
page 3	美使詹森今日由平抵滬
page 3	蘇北當局嚴禁米糧出口違犯者概行槍決居民亦限制購買
page 3	平漢路日兵車中我地雷死傷損失極重
page 3	日少將司令在豫南被擊斃
page 3	桂林發生腦膜炎症
page 3	陳立夫事畢由筑返渝
page 3	農本局謀發展西南農村金融本年分期擴充各省金庫並擬貸款二千二百萬元
page 3	印詩人泰戈爾致函蔣委員長對我抗戰偉大精神致敬
page 3	中法教育基金委員會在渝舉行會議
page 3	粵省教育將有大改革黄麟書即就教廳長
page 3	行政院會議
page 4	日如不提絕對保証商約決難續訂美國態度始終沉着朝日新聞載稱長江將不開放
page 4	蘇機越境投彈挪瑞提抗議挪威聲言仍守中立瑞外長望解除誤會
page 4	芬天氣好轉蘇機愈形活躍全國二十七處被炸美將考慮借款援芬
page 4	德軍調動繁頻荷比仍緊張英法表示將予援助德否認有攻荷比意
page 4	貴州縱行記續完西南巡禮之一
page 4	柏林大火工廠三所被焚
page 4	英政界認為局勢甚嚴重
page 4	日本新閣成立發表宣言標榜三政策
page 4	有田就職談話大開空頭支票
page 4	史托克闡釋建大型潛艇理由目的在對付侵略國麥米倫任關島長官
page 4	日靜岡大火災情嚴重城中心區盡付一炬無家可歸者五萬人
page 4	汪的小丑面目
page 4	日軍增兵桂南
page 4	依然陳腔濫調
page 5	日軍紛紛南潰我猛攻軍田獅嶺粵北戰局我已完全控制
page 5	江會戰事又起日出動騎兵故作攻勢我乘時出擊斬殺甚眾
page 5	我軍控制增城四郊香翰屏返某地策劃反攻機宜
page 5	瓊崖游擊戰我捷報頻傳日軍出擾到處受創
page 5	佛岡民眾抗日有功李主席撥萬元派員獎䘏慰問
page 5	我克復莞龍進迫石灘
page 5	政府注意民生平抑物價撥款兩千萬元購貨平售章元善談經營兩大原則
page 5	西康日記
page 5	偽報爭搶銷路醋海生風波新申報與中華日報明爭暗鬭自相水火
page 6	王泉笙在歡迎會報告國內近况抗戰展望各戰場士氣旺盛軍民密切合作蔣總裁精神健旺前途甚為光明
page 6	萬生牛欄劫案五被告詳臬定讞老婦被控贓簽保獲釋江秀存款待結案後發還
page 6	衛生局昨日例會討論禁止隨地吐痰等案將向政府建議處以罰款
page 6	女青年會
page 6	粵北傷兵難民待救吳菊芳電港呼籲請各婦女團體多集款物並派幹員赴韶共襄辦理
page 6	八和粵劇會歡迎新靚就服務團
page 6	港漫協分會歡送沈振黃返韶
page 6	本港八團體追悼張寶樹今日下午舉行
page 6	維多利亞會社協助留英學生本港有支會可指導一切赴英留學須具相當程度
page 6	保護兒童會賣花籌款定二十日舉行
page 7	旭和杯足球大戰南華嚴陣以待海邊聯人選迄未公布
page 7	跑的藝術
page 7	裁判記者足球戰定廿八舉行裁判人選經已正式產生老爺上陣人物在遴選中
page 7	女子籃球賽勵志暫居首席
page 7	康元體育會旅行荃灣昨開始報名
page 7	香港知行中學學生體育概況
page 7	週末銀牌賽約瑟改陣出戰南華華
page 7	協會乒乓賽頒獎未有期
page 7	外匯牌價無變動英匯市況靜穩美匯續略趨淡申匯市先穩定後略緊
page 7	股票轉趨堅穩全日成交共達十八萬元青洲英坭買賣依然眾多
page 7	八九金市昨市况仍談靜
page 7	國幣續漲昨到達三三０
