page 2	社評美日商約與淺間丸事件
page 3	美日商約明夜滿期美正式向日聲明無意訂臨時商約參院外委會定月杪開會將討論畢德門禁運法案
page 3	蔣委員長告軍民書續昨
page 3	桂各縣公務員省府分別獎懲
page 3	汪兆銘急圖登場傳與王梁獲致調協同意內蒙高度自治廣九路黨部通電討汪
page 3	滬暗殺案某方特務隊員被人砍傷甚重
page 3	南市開放區域並不較前為廣
page 3	滬寒威仍烈內河結冰航輪停班
page 3	滬各界籌備紀念一二八租界當局防範加嚴
page 3	吳將軍遺體出殯悲壯肅穆儀仗蜿蜒半哩暫厝拈花寺將運返原籍
page 3	粵戰區善後急賑貸款分頭併進
page 3	美使赴漢下週初可抵達
page 4	鄂北又一大捷殲滅日軍萬二千人浙蕭山城郊展開激戰
page 4	傳德向義提正式保證表示仍為忠實盟友聲言助義抵抗蘇聯
page 4	英方解釋美輪被檢事件否認檢查上有歧視待遇美航業界主用航證制度
page 4	羅馬尼亞否認英法提警告羅國態度不偏不袒與德貿易並非違法
page 4	波蘭委員會在巴黎開首次會議巴德魯斯基任主席
page 4	加拿大政府禁小麥運蘇預防蘇聯轉資德國
page 4	拉多加湖東北蘇軍進攻被擊退芬軍飛機異常活躍
page 4	文生建議兩年造艦計劃美增加公債發行額
page 4	淺間丸事件日方裝腔作態乘機要脅顯係另有企圖英方態度強硬不致讓步
page 4	哭孚威上將軍詩五律四十首
page 4	為什麽要到將來
page 4	淺間丸事件與國際法
page 5	我軍再攻增城蛇頭嶺戰事猛烈廣九線游擊隊出擊石灘石厦
page 5	翁從途中戰後見聞錄日屍遍野臭氣熏天天寒地凍難民堪憐
page 5	馬惠州救鄉會匯款勞軍慶祝粵北大捷
page 5	鶴山形勢已轉趨和緩日艦昨又砲轟小欖
page 5	粵南沿海日艦動態
page 5	八百孤軍從事學習技藝謝絕在外募捐
page 5	粵北各公路線均次第修復韶市郊通車亦將行駛
page 5	粵北各縣行政恢復原狀李主席關心戰區難胞籌集鉅款作根本救濟
page 5	西康日記五
page 6	華商籌賑會議決擴大慰勞粵北將士先匯國幣五千元並函各行徵集慈善賣物會決暫緩進行
page 6	中青救護團組救護隊赴粵桂桂主席黃旭初曾來函邀請第九第十兩隊將分別前往
page 6	小販陳新長期義賣五角本金溢利竟達三百餘元
page 6	滇越鐵路最近交通詳情頃自本埠大道中六號中
page 6	藝術觀賞會第二次定期舉行
page 6	粵回教塔光月刊被日偽冒名出版利用宗教遂其懷柔手段以荒謬文字為日人張目
page 6	九龍設電報分局暫時尚難決定電報局經理談並未忽視苟非戰事爆發早已設立
page 6	航行注意船政佈告
page 6	駐港芬領事發起募捐運動
page 6	英郵發行百年紀念本港舉行集郵展覽
page 6	東區遊樂場二十七日開幕
page 6	徵募寒衣陳海鷹畫展會二十七日開幕中山青年會擧辦之陳海
page 6	本港簡訊
page 6	廣州大學三學會昨致函畢德門請拒絕與日續訂新商約保護美國利益維持正義
page 6	太平劇團今晚賊王子上下卷
page 7	抗越隊人馬不齊港聯最後獲勝阿鍾妙傳李安納建功
page 7	男女籃球義賽星島雙奏捷四十三比廿一打勝南華僑星力戰不支終吃敗仗
page 7	中西記者隊陣容昨產生
page 7	跑的藝術
page 7	今日女籃爭標戰因事押候
page 7	仿中游藝運動全部結束前日舉行頒獎
page 7	記者足球義演華聯戰埠際隊雙方準備廝殺必有劇爭請牢記月底在加山上演
page 7	九龍思思中學提倡冬泳
page 7	美菲荷匯牌價回漲英匯沉寂申匯略淡
page 7	八九金市昨交易又停頓
page 7	股票市益沉寂買戶裹足不前市場冷落昨日成交僅一萬九千元
