page 2	社評張伯倫的重要聲明
page 3	美報注意汪日條件斥為日閥一貫理想東京唯一反響厥為羞愧沉默張伯倫在眾院發表嚴正聲明
page 3	無恥之尤汪竟謀竊用國府名義以圖欺騙無知民眾偽中政會下月開會
page 3	滬各報繼續斥汪賣國
page 3	歐局的檢討
page 3	渝大學教授通電討汪
page 3	南華早報幽默小評譏刺路透社之失態
page 3	滬工部局保護費利浦張伯倫在眾院報告
page 3	政務巡視團組織規程修正通過
page 3	日本少將在湘北被擊斃
page 3	春節勞軍各地熱烈籌備
page 3	偽中委何世楨被槍擊未中新貴周邦俊家一塲虛驚張惠麟被槍傷原因不詳
page 3	英使卡爾在渝數與當局晤談
page 3	美大使下月來港轉程前往重慶
page 3	滬第二歹土滬西烟賭移往南市賭台三處業已營業
page 3	寧波貨運擁擠滬甬輪期阻延
page 3	日軍厭戰漢日軍官集團自殺
page 3	教部調整師範教育將劃分師範區
page 3	湘省府鼓勵人民抗戰特訂獎勵辦法
page 3	王泉笙已抵馬尼拉
page 3	韶關各界舉行祝捷提燈巡行各省慰勞團撞踵抵粵
page 4	鄂北我軍冒雪追擊消滅日軍主力侵蕭山日軍不支固竄
page 4	土耳其方面亦傳德蘇成立新協定協定書週內可簽字英未決定與蘇絕交
page 4	首都各界追悼吳將軍
page 4	巴爾幹協商國定期會議土外長定月底啓行途次將晤保國總理
page 4	鮎川在德下月初赴義
page 4	英首相在眾院重申對比保證實施保證步驟均經考慮法方預料德將大舉進攻
page 4	希特勒迷信武力向入伍生演說推崇腓烈大帝
page 4	英向加拿大訂購軍用品艦艇數十艘零件一大批
page 4	羅斯福上校努力一碗飯運動我贈予采玉動章
page 4	哭孚威上將軍詩續五律四十首
page 4	日方無理抗議英即提出覆牒日外務省詆譭英大使聲言擬用海軍護航對付英國
page 4	蘇軍採取攻勢拉多加湖北一段激戰中
page 4	日本駐歐使節在匈京會議
page 4	法報主張英法土聯合保障羅國安全羅政府統制石油輸出
page 4	密勒氏評論報論楊格被捕日本之窘態欲蓋而彌彰
page 4	胡大使被邀發表演說
page 4	中緬文協在渝開理事會
page 4	日軍滋擾蕭山
page 4	國際法與興趣
page 4	日本人講禮貌
page 5	北路戰事無變化新街外圍殘日將肅清廣從公路在我控制中
page 5	新鶴路日軍犯馬山不逞江會方面砲戰劇烈
page 5	西康日記五一
page 5	粵北抗戰有功官民省府令查獎恤
page 5	瓊島我軍活躍收穫游擊戰果崖縣三亞港日軍挖掘壕溝
page 5	南路軍政加緊推進中
page 5	上海的冬賑
page 5	馬來亞華僑熱心救國募機兩架捐贈政府空軍代表南下慰問
page 5	粵北調查團分配工作下設兩組十六股
page 6	日獨霸我國航運英輪業務大受打擊沿岸航運幾盡被日操縱趕築商船行駛我國各埠
page 6	國貨展覽會今日報名截止聘羅旭龢為名譽會長廠商會理事昨開例會
page 6	東華東院恢復贈醫外科跌打
page 6	教電協會昨日歡迎滬影入並舉行設計委會
page 6	救濟流亡難童徐謙談舉辦賣物會意義將救濟院改為工藝學院
page 6	英戰慰勞會港分會募款成績優異僅數月中籌得四十萬元總會公佈所得款項用途
page 6	全國美展本港美術界有多人參加
page 6	蔣夫人函劉慶萱我軍事日益好轉勝利之基已立復興之功可睹兵災會捐棉背心三千件
page 6	銀行實踐金伯銘君新著出版
page 6	陳海鷹畫展昨日舉行預展響應徵募將士寒衣運動明日假華商會正式開幕
page 6	鄭洪年昨日奉召飛渝
page 6	旺角油蔴地兩茶樓捐助義學經費定期報効一日薪工收入並有名伶多人到場義唱
page 6	初戀滋味皇后平安今日起映
page 6	蘇浙滬商人協會遷本港大道中八號二樓為久遠之計擬自置會所
page 7	籃球聯會昨議決取消知行資格仿林對勵志月底補賽
page 7	越足球隊快開到檢閱港兵馬尚盼埠際代表及兩華會加鞭並答羽儀君的問
page 7	跑的藝術勁力和賽跑的計劃
page 7	大生杯排球賽明日開鑼
page 7	滬埠際足球試賽意中隊戰可能二十八日在逸園舉行
page 7	記者陸運會節目豐富藝人到塲助興
page 7	體壇喜訊
page 7	春草體育會旅行沙田星期日出發
page 7	騎師陶栢林恢復資格春季可顯身手
page 7	美菲荷滙牌價續漲英匯市況淡靜市底則略緊申滙仍穩定銀行頗多拋出
page 7	股票市況疲弱全日成交四萬七千餘元香港電車下月開派股息
page 7	八九金市昨日益形淡靜
page 7	金條昨金成交
