page 2	社評日軍竄擾浙東的用意
page 3	浙東反攻各路勝利戰事逼近錢塘江邊日掩飾失敗又稱目的已達
page 3	全國軍民一致討注
page 3	賣國文件揭露後汪方張皇失措欲蓋彌彰自劃供狀青島會議實際失敗
page 3	歐局的檢討 
page 3	一二八八週年全滬沉痛紀念兩租界當局戒備嚴密
page 3	外部發言人斥日方讕言正式軍事機關之發言人隨便造謠足見人格墮落
page 3	桂東礦區新設警察局
page 3	連山民眾英勇踴躍服兵役粵新縣制定三月起實施
page 3	去年我向美購買軍械總值飛機一項約佔半數
page 3	春節勞軍慰勞總會函各分會通知各種實行辦法
page 3	全國毛毯運動月內完成結束盧廣綿對本報記者談話
page 4	美與英法各國正作密切接觸注視津租界封鎖問題認日仍企圖嚴厲排外
page 4	英倫奇寒四十六年來所僅見河面成冰食水凝結
page 4	屢次進攻不利蘇軍放棄攻勢芬北八城慘遭空襲瑞志願軍出發助戰
page 4	邱吉爾演說警告德蘇芬軍此次英勇作戰實予聯軍極大鼓勵
page 4	南極探險白爾德報告發現新山峯
page 4	歐戰通訊之六法國國民製造忙二由法國說到中國一月十七日巴黎航信
page 4	日蘇界務問題談判發生困難蘇代表已離哈
page 4	德芬談判結束
page 4	立代表啟程赴德進行經濟談判
page 4	蘇聯雜誌揭發日覬覦安南陰謀派遣間諜潛赴活動
page 4	上海接獲神秘電台播音痛斥日閥欺美侵華美國未忘巴納事件
page 4	日不滿英覆牒擬再度提抗議軍部機關報指摘政府措置朝日新聞並警告海軍當局
page 4	壓不住的愛國熱情菏澤反英會中
page 4	西線積雪融解砲戰轉趨活躍德比邊境一部開放
page 4	德廢皇壽辰荷女王遣使致賀
page 4	日將再向英抗議
page 4	一月跳舞十萬金
page 5	日軍四出拉伕江門民眾多逃避我軍收復陳村勒流鎮
page 5	上海日人橫行不法吃飯不付錢反開槍威嚇
page 5	日商又在蘇州吸收白米迫令採辦三萬石
page 5	桂南婦女組織游擊隊
page 5	吉安婦女大義凜然勸夫從軍殺日
page 5	韶關空防日趨鞏固建築防空洞可容二千人
page 5	我衝入澄海城內大火巷戰激烈
page 5	審理漢奸行營規定權責不得擅加刑殺
page 6	一二八八周年紀念昨日平靜渡過學生賑濟會開會紀念
page 6	廣東文物展覽會出品作者姓名統一稱謂參加者二月七日前填表
page 6	音樂家孫靜錄女士明日在港播音
page 6	獻劍團今日首途赴渝
page 6	三門關海面貨船被海盜騎劫兩賊船共有海盜四十名截去年宵貨物值六千元
page 6	跳舞的消費每月達十萬五千元
page 6	節省陽光問題研委會工作竣事建議政府頒佈法令實施酒樓茶室等須提早收市
page 6	華南大酒家三十一日開幕
page 6	出版消息
page 7	銅鑼灣近萬球迷齊看華聯奏凱四比二西文員遭淘汰
page 7	灣頭憶語
page 7	大生杯排球賽保羅最後獲勝三比二力克平山
page 7	記者陸運會參加踴躍
page 7	籃球將沈瑞慶昨日取婦新娘黃妙瓊
page 7	德顏料來源斷絕售價漲六倍本港存貨多為殷商操縱美國顏料漲勢尚較和緩
page 7	本港五金來源銳減售價日漸上漲
