page 2	社評日本今年的預算案
page 3	桂南大勝克復賓陽武鳴日軍亦被擊退各路殘日分別包圍殲滅中日企圖又粉碎屍體遍山野
page 3	犯大洪山日軍狼狽潰竄
page 3	晉東南現戰局我佔優勢
page 3	春禮勞軍運動粵滇情緒熱烈蛋民乞丐亦不後人
page 3	賈景德談晋綏現況晉實際僅有一縣淪陷綏空室清野日必挫敗
page 3	滬學生總會揭發汪陰謀企圖以鉅金收員未果乃竊用名義淆惑聽聞
page 3	王開疆之死一個同艙者目擊談
page 3	粵新縣制改四月起施行
page 3	湘北前線人民安居樂業如常
page 3	美大使談話美對汪偽政權決不承認赴渝並非參加任何談判
page 3	交張在桂召集交通人員訓話
page 3	如此小朝廷行政區經維新指定汪派大小嘍囉月杪遷寧
page 3	滬金價狂漲
page 3	鳳岡志願兵團率令殺日即將出發
page 3	中印兩民族友誼愈密切印國際大學中國學院孔副院長允任獲持人
page 3	白崇禧電粵救濟米荒可接濟二百萬石粵派員赴桂接洽
page 3	王開疆蹈海經過從被脅從逆到自殺明志汪派罪惡與黑暗之一斑
page 3	滬又一槍殺案前公安局職員黃德志在寓所被兩暴徒擊斃
page 3	蔡曉和被刺係汪派所為
page 3	滬居愈不易物價有續漲趨勢
page 3	上海孤軍與白俄隊起衝突
page 4	法日商務關係將入無約狀態商約談判陷於停頓美社會中堅請譴責日本侵略
page 4	美和平策動各國深切注視蘇聯歡迎任何切實行動歐洲戰禍或可暫時減輕
page 4	倫敦日記三一月十六日劍橋航信
page 4	戈培爾發表德作戰目的建設所謂歐洲新秩序殖民地問題尤為主要
page 4	須磨報告蘇日界務問題
page 4	西園寺體力未復原食量亦大減
page 4	蘇德關係之謎兩國有加緊合作說波蘭鐵路屢遭破壞
page 4	英王夫婦出巡英倫西部參觀各大飛機工廠所獲印象極為良好
page 4	義梵協定紀念義全國均熱烈慶祝輿論強調共同合作
page 4	德空軍活動飛襲英船艦
page 4	傳蘇急欲結束戰爭將向芬蘭猛攻芬外長否認美出任斡旋說
page 4	美總統競選法萊允任候選人報界咸表示詫異
page 4	一幕活劇牧野質問預算案畑俊六大事咆哮
page 4	信不信由你德外交部發表波對德人暴行
page 4	潮汕日軍返戰潮高漲偽軍携械潛逃時有所聞日國內工廠屢被火焚燬
page 4	加總督逝世日前摔傷腦骨名醫治理無效
page 4	日所得稅被徵者增加一倍
page 4	又一個目的已達
page 4	逃出火坑悔悟自新
page 4	偽滿大豆大批屯積無法起運
page 4	捷境猶人一律被迫停業牛賴特發表新措施
page 5	南洋八百萬華僑電美請禁運軍火赴日毅然主持正義遏止侵略鋒火霹靂樹膠公會亦作同樣呼籲
page 5	虎門港口日艦運輸頻繁西江一帶隔岸對峙中
page 5	粵犒軍邊代表陸續返韶丘譽將轉赴西江
page 5	暹羅僑胞慰問瓊崖軍民
page 5	一年來南洋華僑義捐成績好捐款總數馬來亞佔第一個人捐輸菲律濱最踴躍
page 5	中央第六軍校在韶招考新生
page 6	婦女兵災會慈善餐舞會明晚在半島舉行籌得善款救濟中英傷難節目豐富特刊編號搖彩
page 6	英克利蒲爵士今晚由渝來港本港名流準備屆時歡迎成氏曾赴新疆哈密視察
page 6	國貨展覽會昨晚閉幕會期八日觀眾四十五萬昨日義賣情形極為熱烈
page 6	紅包運動共得三百餘元定廿七日結束
page 6	學賑會服務團團員鄭贊江黃瑞祥翁源前線失蹤被困大坑山達四日之久隨軍突圍後至今無下落
page 6	陳丕士夫人之舞姿
page 6	綠野仙蹤皇后平安明日聯映
page 6	警察總部公布華探鄧家之功績去年五月負傷追捕賊黨英王獎殖民地勇敢功牌
page 6	扇面斗方展覽會港大中文學會主辦
page 6	出版消息
page 6	黃質文日內赴桂留港活動謠傳無稽
page 7	西貢隊三戰三北東方痛飲黃龍五比一輕取頑敵勢如破竹兩翼齊飛金海取四球
page 7	戰後觀感
page 7	西貢足球大軍星期出戰華聯
page 7	開麥拉
page 7	英美匯市先緊後靜申匯市況略形淡慢
page 7	股票市況活躍各種低價股票胃暢旺全日成交達十九萬餘元
page 7	八九金市昨日交易停頓
