page 2	祝第十四輩達賴喇嘛坐床大典
page 3	日犯浙東又遭挫敗由蕭山突圍一股完全擊潰邕欽路激戰小董我軍獲勝 
page 3	上海大火死傷達十四人
page 3	渝慰勞團轉赴桂南前線
page 3	鄂中我軍連克要點日軍動搖有崩潰勢
page 3	華北民生日蹙偽鈔暴跌物價飛漲平津食糧極感恐慌
page 3	馬六甲僑團通電討汪
page 3	滬總商會勸市民自重雖無政府之監督指導亦不應昧著良心牟利
page 3	白主任報告戰局最近情勢國際發展與 我極有利日軍事經濟皆陷絕境
page 3	黔省黨部全體委員就職
page 3	英外次表示駐華使館暫無遷渝必要
page 3	勝利時機
page 3	二期抗戰
page 3	部隊補充
page 3	平時財政
page 3	一敗塗地
page 3	抗戰到底
page 3	蓉華大火災損失甚重估計約達十萬元
page 3	渝市舉行拒毒宣傳
page 3	第十四輩達賴喇嘛今日舉行坐床大典行都各界結彩開會慶祝並在長安寺內設壇修法
page 3	華北慰勞團分赴豫晉視察下月底可返渝
page 3	川參議會二屆大會開幕
page 3	渝市擴大舉行傷兵之友運動昨動員黨員七百人實行按保按戶徵求
page 3	經濟部發展合作事業普設合作實驗區陝西鄉縣已成立
page 3	美使抵滇將循川滇路赴渝對日機炸滇越路表示憤慨
page 3	興集各界舉行春禮勞軍共計得萬餘元
page 3	美國前國務卿史汀生論對日軍火禁運本年一月十日致紐約時報函國際宣傳處譯
page 3	軍委會發言人嚴斥日人造謠桂南戰績事實勝雄辯信口胡謅適欲蓋彌彰
page 4	美貨輸日漸減禁運法案將再審議購銀計劃在討論中
page 4	日閥的徬徨乞美調停戰事
page 4	克萊琪訪谷正之商移解日輪德人問題
page 4	日極右傾軍人鈴木莊六病死
page 4	近衛之子被徵入伍近衛夫婦神社祈禱
page 4	日眾院預委會通過預算案定今日交眾院討論
page 4	美記者何活德泛論遠東局勢希望日本有識人士覺悟
page 4	日報對美恫嚇謂將引起嚴重影響美凱塞爾發表淺視演說
page 4	德機襲英海岸倫敦市外可聞砲聲
page 4	顏惠慶離美日間將過港
page 4	美國民眾反對參加歐戰民意測驗所統計結果
page 4	蘇軍續佔芬要塞維堡益形危殆柏林盛傳將出任調解援芬問題英法諮詢中
page 4	艾登在眾院報名赴埃經過全院齊報以掌聲
page 4	蘇報極重視我桂南戰果揭載日軍慘敗情形並證實日發生騷動
page 4	波蘭亡國恨傳戈林已下令沒收波人土地
page 4	北平物價
page 4	芬蘭危迫
page 4	美前國務卿史汀生論對日軍火禁運國際宣傳處譯
page 4	張伯倫在眾院報告德輪事件對挪威態度表示遺憾盛譽英海軍處理得宜
page 5	南僑籌賑總會向各地勸募藥品奎寧丸與凡士林國內需要迫切規定籌款數目從速採購
page 5	滬物價騰貴達嚴重階段米麵價格繼續激漲燃料前途亦殊可慮
page 5	桂南大捷南僑感奮電委座祝賀
page 5	業中人談
page 5	高漲原因
page 5	三個月前
page 5	上海偽市府搜括糞便廣設公廁漁利
page 5	西康日記五七
page 5	粵各界籌組春節勞軍團
page 5	廣州日僑紛紛逃出我游擊隊益見活躍
page 5	日艦砲轟大沙圖登陸不逞三埠形勢已趨和緩容奇偽軍攜械投誠
page 5	外報觀察煤斤前途
page 5	麵粉雜糧漲無止境
page 5	洋米售價到五十元 
page 5	平糶施飯急不及待
page 6	永生輪被日艦搜查經過船長巴頓之報告書福州海面日艦鳴砲迫停抗議無效仍被武力搜查
page 6	舞女白雪鑽石金飾遭劫被舞客誘出在車中下手贓物共值一萬三千餘元
page 6	白雲身世
page 6	一幫闊客
page 6	約出消遣
page 6	見勢不佳
page 6	繼續搜劫
page 6	暈迷倒地
page 6	報警查究
page 6	失贓之數
page 6	賊黨像貌 
page 6	自招賊禍
page 6	黃泥涌大坑一帶棚戶奉令遷居渣甸曠場該處已建有寮屋數十間祗准奉令遷移住客居住 
page 6	關良畫展先睹記
page 6	王熙春姍姍來遲改搭下班輪船來港
page 6	風流翁媳
page 6	洪承疇
page 6	華南汽車學校
page 6	漫畫研究班
page 6	水利工程學會徵求華北水災紀錄調查報告私人紀錄均所歡迎請寄香港郵政信箱一八四號
page 6	鐵流歌詠團歌詠戲劇演唱大會定二十四日晚舉行
page 6	徵集論文
page 6	大會職員
page 6	出品種類
page 6	會場佈置
page 6	失臟之數
page 6	廣東文物展覽會今晨開幕地點馮平山圖書館會期五天不收門券
page 6	約出消遣
page 6	白雪身世
page 6	一幫闊客
page 7	旭和杯爭標戰陸軍實力堅強大敵當前南華要小心 
page 7	週末聯賽甲組兩場對調
page 7	春季跑馬第四天兩次出冷門隘積士突出使人驚異冠軍賽畢福湔雪前恥
page 7	全馬汽車爬山賽霹靂獲團體冠軍
page 7	潘萊離婚
page 7	後日排球賽逍遙逢平山
page 7	港埠際足球隊在滬博得佳評大告身兼四職應付裕如滬隊擔保明春來港報聘
page 7	尖事記
page 7	外匯牌價無變動英美匯市均穩定申匯市況仍淡銀行略有拋出
page 7	股票市況靜穩買賣尚欠踴躍
page 7	八九金市昨日交易停頓
page 7	海聯體育會週年紀念昨開會慶祝
page 7	跑的藝術幾個田賽的項目
