page 2	朝鮮三一紀念感言
page 3	日軍再犯八塘不逞邕武路殘日圖固守高峰㘭
page 3	汪偽組織出現尚無確期
page 3	王逆克敏傳已辭去偽職
page 3	美大使昨日由滇抵渝
page 3	中緬雙方合作掃除邊境瘧患滇已成立抗瘧委員會美專家亦將來華指導
page 3	滬虹口等區警權恢復問題日方允交還租界當局傳即將簽訂一協定
page 3	考試院召開人事行政會議四日開幕會期一週
page 3	粵省仇貨限一月內肅清救濟戰區退出船員
page 3	滬工潮擴大公共汽車職工總罷工租界內曾發生小騷動工部局又將加捐
page 3	川降甘霖春旱可以無慮
page 3	美國在華名流將在渝開會討論開發內地農村
page 3	川華大創辦人畢啟博士本月中旬返美
page 3	天津奸商橫行竟操縱民食麵粉價格因囤積而飛漲一轉手間厚利入其私囊
page 3	日偽亡華密約又一揭發
page 3	滬市黨部主委揭發漢奸陰謀希望青年學生勿受蠱惑討汪通電雪片飛來
page 3	沿江砲兵逞威日艦傷沉累累
page 3	東北健兒活躍重創吉林日軍
page 4	韋爾斯昨赴德德政府特派專車迎迓赫爾宣布美國旨趣注意恒久和平途徑
page 4	日又發生大火損失達二百萬
page 4	達拉第在參院報告外交法對土形勢表樂觀謂德破產尚非其時
page 4	戈培爾演說自詡軍事組織嚴密危辭恫嚇中立國家
page 4	波蘭被難僑胞由德政府賠款撫卹
page 4	懲戒齋藤事件牽涉範圍甚廣
page 4	日人大言不慚謂將以行動對付蘇聯對美國則謂無所胃懼
page 4	美眾院通過貸款案現已移交參院商討對芬貸款修正案遭否決
page 4	日政府向眾院提追加預算案
page 4	英國進行擴大對德封鎖將在加拿大設統制港截檢運往海參崴貨物
page 4	英義經濟關係現達微妙階段兩國商務最大障礙厥為義煤供應問題
page 4	莫洛托夫宴美大使蘇政要多人均在座 
page 4	不足重視
page 4	路易喬治的名論
page 4	路易喬治反對敵視蘇聯目前工作艱難重大不應干犯更大冒險
page 4	鹿地亙為文追悼日反戰同盟烈士諸君是日本反帝的烈士我們全體同志決不落後
page 4	淺間丸德人已移交日方為數共九名
page 4	英促進農業張伯倫發表演說政府將扶掖農民
page 4	卡列利亞地峽芬軍繼續後撤維堡區兩軍鏖戰仍烈
page 5	廣州日軍積極補充虎門日艦調動忙我反攻軍事繼續推進小黃圃偽軍全部反正
page 5	潮陽近貌 
page 5	從今不見綺羅人
page 5	五元國幣購物難
page 5	滬銀號小錢莊財部將予取締俾減少投機操縱之風
page 5	童山濯濯地無毛
page 5	富豪變成破落戶
page 5	粵北四慰勞團向長官獻旗
page 5	西康日記六四第四編康定及其附近西康風俗概述
page 5	粵北政治動員加緊訓練日軍俘虜漢奸又有一批解韶
page 5	莫雄巡視西江防務古鼎華回防前方
page 5	知識份子沒出路
page 5	不做漢奸寧餓死
page 5	重慶國際電台向泰國廣播報告我國抗戰真相促進中泰民族親善
page 5	滿眼盡是可憐相
page 6	久旱逢甘雨居民食水務須煮沸昨晨大雨得水幾達一寸衛生當局警告一般居民
page 6	今後數週務須小心
page 6	廣州大學十三週年紀念四日開會慶祝
page 6	中國婦女會邀請閨秀演劇籌款覓得地點後即開始訓練昨日舉行常務委員會議
page 6	滂沱大雨得水將寸
page 6	海盜八名被擒
page 6	橫瀾海面劫艇案捕獲海賊八名昨日控案解南約理民府提審糧船灣海面漁民炸斃三海賊
page 6	捐助各方
page 6	演劇籌款 
page 6	漁民炸斃三賊
page 6	勞軍勸募隊第四日成績
page 6	糖商總會聯歡大會慶祝成立十六週年
page 6	本港當局將限制鎢礦出口防止經中立國口岸運德最近出口激增市價暴漲
page 6	九龍樂善堂本屆新總理選出
page 6	勝斯酒店改建新廈昨日註冊易主
page 6	戰時貿易無季候性港府官員解釋一月本港貿易
page 6	衛生局議員
page 6	王正廷飛渝
page 6	史羅斯返英
page 6	英艦失水雷
page 6	法僑賣物會
page 6	南華公司潘巧雲攝竣王引定日內返滬
page 6	商會籌振會明日歡敘三院總理
page 6	復旦中學
page 6	廠商聯會昨開理事會
page 6	漁協會函高承元報告漁民苦況籲請制裁敲詐漁民官吏港澳振濟會撥款振漁民
page 6	閏年節之樂港督夫婦昨晚參加閏年節跳舞籌款會
page 6	中冊青年會籌設街坊圖書館劉天祐慨捐圖書一千冊館址及徵募法日間會商
page 6	賣花成績
page 6	報告事項
page 6	蘇聯對華廣播每月二十九日放送本港昨日收得伯力轉播
page 7	明日甲組足球賽南南對抗米軍警察對約瑟因事展期 
page 7	本週排球比賽平山迎戰漢中英皇星期日再逢逍遙
page 7	重要足球比賽備忘錄四月底可結束
page 7	體育精神修養
page 7	籃球聯會今晚召開會議
page 7	芬體育健將同上前線為國家效勞
page 7	外匯牌價無變動英匯美匯呆滯沉寂申匯市況依然淡靜 
page 7	八九金市昨市況仍冷淡
page 7	股票價格回降市況轉趨靈活昨日成交達三十餘萬元
page 7	新運六週紀念單車比賽成績均甚圓滿
page 7	滬西聯足球賽麗都依然領前
page 7	向同志進一言
page 7	打吡賽冠軍馬主摩拉昨日返春申
