page 2	蘇聯勝利以後 
page 3	桂南我軍冒雨追擊三塘在嚴密圍攻中廣州日軍結集西江戰事轉劇 
page 3	徵求傷兵之友行都成績優異二次揭曉超過十萬目標 
page 3	人事行政會議今日舉行開幕儀式出席代表約有百人
page 3	徐向前通電討汪
page 3	桂省府下令掩埋日屍以防發生疫癘
page 3	台灣日軍紛起反戰日司令驚恐異常一時仍無法壓制
page 3	美大使宴請我中樞要人
page 3	日人反戰同盟演劇籌款勞軍八日起在桂林連演三天
page 3	日軍無賴收買漢奸擾民
page 3	甘寧青勞軍團青海代表魏南芳赴蘭州會同赴綏
page 3	青參議會首屆會議開幕
page 3	桂南政工人員開檢討會議南嶽會議決定各辦法將於短期內全部實施
page 3	農貸辦法綱要全文批准發表
page 3	水利專家談黃河水漲長江下游恐將受災
page 3	滬工潮稍平公共汽車工人復工將與資方開始談判
page 3	梧州女中熱心救護傷兵省府傳令嘉獎
page 3	汪兆銘黨羽原來是盜匪被滬英軍拘捕之十三人已經工部局警務處驗明
page 3	英駐華賑災會舉行義賣籌款充救濟我難民之用九日起在昆明開幕
page 3	昆明通信滇緬行一
page 3	達賴坐床大典中央贈給甚豐品類三十種完全為國產
page 4	蘇軍攻入維堡但芬京官方仍否認傳蘇聯將提和平條件
page 4	韋爾斯晤戈林事前並曾與希斯晤談
page 4	德軍指揮當局自詡戰果謂海空戰皆操勝算英方認為不值批評
page 4	羅斯福抵美京信用貸款案巳簽署芬瑞挪丹皆獲借款
page 4	日議員斥政府濫施權力強迫齊藤辭職之舉良非立憲國家所為
page 4	西門述作戰目標欲求停戰祗有一途暴力行為必須消滅
page 4	孤立無友
page 4	歧見存在
page 4	法國無意與日續訂商約日機濫炸滇越鐵路法輿論界表示不滿
page 4	此輩民從
page 4	參加初選嘉納亦參加競選
page 4	侵略行為
page 4	英機襲柏林投落傳單及照明彈德高射砲抵抗無效
page 4	滬物價問題
page 4	羅斯福返美
page 4	歐戰戰略的檢討焦寶齊寄自英國
page 4	羅斯福返華盛頓赫爾及約翰森均至車站迎迓
page 4	蘇紅星日報揭露日窘態對華作戰損失慘重殘廢日人亦被動員
page 5	大良再被侵擾北郊尚在激戰中日軍焚燒搶掠城內情形混亂古井日偽增兵雙水又告吃緊
page 5	粵各級動員會奉令改組對人事機構重新調整
page 5	蘇州物產日方全部統制
page 5	西藏紀行五
page 5	澳商會主席徐偉卿蟬聯
page 5	西康日記六六第四編康定及其附近西康風俗概述
page 5	粵僑通訊處擴展工作增設西江護僑機關
page 5	八三幾件劃時代的事件
page 5	廣東綏靖公署協助民眾組訓繼續編練粵北民眾志願兵團 
page 5	省府南路行署調劑金融新舊紙幣一樣行使頒發輔幣五十萬元
page 5	粵省府通過全省造林計劃廣設各縣鄉鎮保公有林先在二區各縣設所示範
page 6	一部分僑校藉口新例增收學費以增高百分二十最普遍貧苦學生多已被迫退學
page 6	貧苦學生迫得輟學
page 6	設備簡陋亦增學費
page 6	增加學費另一藉口 
page 6	東江私梟猖獗偷運鎢砂來港估計每月一千三百餘噸每擔即可獲利二百餘元
page 6	偷運男女絡釋於途
page 6	百新書店改訂贈品辦法
page 6	國民大學下學期將改為省立
page 6	洪承疇東樂今晚起演 
page 6	工程師學會徵工程人才調查表
page 6	一碗飯運動指紋學會函請商會舉辦該會忙於勞軍未能兼顧
page 6	春禮勞軍運動正忙
page 6	指紋學會又請提倡
page 6	先施公司舉行美容表演
page 6	荷里活道火警鐘損壞滅火車空走一遭 
page 6	絕代佳人中央戲院重映
page 6	三八節儀式
page 6	添置探射燈
page 6	廣東救委會
page 6	青年會徵友
page 6	深圳附近村落元氣難復僅存耕牛四頭犁耕四柄目前春耕進行甚為遲緩
page 6	此次管制水陸並重
page 6	振聯會應負起責任
page 6	廣州大學十三週年紀念情形
page 6	尋礦熱潮極度澎湃
page 6	明晚燈火管制港口封鎖兩小時警報鳴後三分鐘內熄燈車輛船舶亦須遵例辦理
page 6	燈火管制辦法公布
page 6	每擔獲利二百餘元
page 7	香港會青雲得路東方慘遭敗北錯排陣線二比一受創
page 7	澳百磅籃球賽頒獎紀盛徐瓊章主禮
page 7	記者體特會旅行鴨脷洲
page 7	中華體育會徵求會員報名加入甚眾
page 7	大生杯排球逍遙勝英皇
page 7	乙組冠軍爭奪戰南華先搶頭關一比零打退工程
page 7	國產集中本港對蘇貿易激增去年總值共達三千餘萬元出口以茶葉礦產為最大宗
page 7	本港奢侈品消耗數量去年達四百萬元
page 7	銀聯小球賽昨晨揭幕郵匯打勝匯豐
page 7	東方蒙難記
