page 2	日本的新國防計劃
page 3	嶺東我軍進迫潮汕西江反攻亦有進展
page 3	魯省各地偽軍紛紛反正投誠
page 3	粵當局會商新縣制問題擬將全省各縣分為五等
page 3	國府明令褒揚孫鴻哲
page 3	如蟻附羶淪陷區內日人較戰前多三倍
page 3	鄂慰勞團在桂事畢返省
page 3	滬日軍發言人不打自招謂汪偽組織成立後將取消第三國勢力
page 3	平寧偽組織又定期集議
page 3	遁辭知其所窮周逆窘態畢露說賣國條件不便宣佈
page 3	朱友漁被推港滇區主教
page 3	定海縣長傳被刺受重傷
page 3	慶祝童軍節滇贛情形極為熱烈
page 3	滬又一槍殺案麗都舞廳主人高鑫寶被人狙擊中三彈畢命
page 3	陳濟棠被任農林部長
page 3	湘春禮勞軍圓滿結束成績甚佳
page 3	川慶得雨筑降冰雹
page 3	桂日人演劇頗博好評三兄弟將攝電影戲劇界勞軍團赴柳
page 3	滬巨劫案交通解款被搶損失達三萬元
page 3	甘本年施政方針注重生產建設蘭州舉行生產展覽會
page 3	駐滬美總領下月初返國述職七月中赴澳履新
page 3	滬耶松船塢發生工潮
page 3	福建籌設省立大學先開辦法學院本月內可開課
page 3	燕大校長司徒雷登今日由筑返渝
page 3	中國茶葉公司推廣滇茶在各地設立合作社租地鼓勵農民種茶 
page 3	討汪通電
page 3	軍委會發言人再斥日人造謠
page 3	從禍水中躍登彼岸三
page 3	鄂北乘勝挺進洛陽店貫莊店先後收復
page 3	晉南我佔優勢夏縣翼城一帶連日激戰
page 4	蘇聯將發表聲明尊重芬蘭主權最高蘇維埃月杪開會芬議會將批准和約
page 4	北歐將有會議
page 4	東南歐新醞釀傳德國力促蘇義按近有蘇羅將訂不侵約說
page 4	韋爾斯再訪法要人與雷諾會談一小時抵義後或再謁教皇
page 4	傳義曾要求與土合作欲削弱英法土聯繫土方仍持靜觀態度
page 4	美軍事權威預測蘇日難免衝突但一時似無擴大可能
page 4	義大利搜集廢鐵鐵柵鐵門皆被拆去
page 4	法參議院舉行秘密會議討論芬蘭及國際問題內閣或將有局部改組
page 4	法日商約昨已期港重訂新約談判尚無確定日期
page 4	波羅的海國家將開經濟會議自行推動經濟建設將討論對蘇德關係
page 4	日貴族院通過下年度預算對原案並未修正
page 4	克萊琪晤谷正之商津白銀問題
page 4	德吞併捷克一週年紀念英外相廣播告捷人書重申解放捷克之決心
page 4	甘地抵孟買出席國民大會對奧戴爾之死表哀悼
page 4	日閥玩什麼花樣
page 4	漢奸又一自供
page 4	法日商約滿期
page 4	蘇聯與東南歐
page 4	美人發明烈性地雷不感痛苦即被炸斃
page 4	英鎊價值跌落日貿易受打擊對金鎊集團之輸出勢將發生不良影響
page 4	歐戰通訊之七英法前線素描上三月五日巴黎航信
page 4	芬軍遵約撤退
page 5	反攻中順告捷我一度衝入石岐三鄉日軍紛紛開回增援 
page 5	乾霧戰事激烈
page 5	三埠交通恢復
page 5	粵南我軍掃蕩殘日那陳長灘戰事猛烈靈山各地迭遭轟炸
page 5	大良城內煙賭復增居民寥寥可數
page 5	愛國可風吉隆坡僑領陳永一週間捐款五十萬元
page 5	粵傷兵之友社積極開展工作購備書報充實精神食糧籌募基金加強傷兵教育
page 5	西康日記七三
page 5	廣州灣僑胞為汪鑄鐵像井通電全國一致聲討
page 5	粵合作事業成績良好農村貸款進行頗順利
page 5	滑翔運動歌航委會政治部編發
page 5	南洋僑胞推行獻貨車運動緬甸熱烈舉行獻車典禮馬來亞將募款購車百輛
page 6	華民司通告商店每日停止營業時間至遲須於晚上八時閉門違犯此例將被科以罰金 
page 6	華民司之布告
page 6	有關係之各行
page 6	生果行受影響
page 6	糖果生果何異
page 6	僑校請改善校舍新例將向港督縷陳理由港九各義學亦請當局通融一部分僑校藉口增加學費
page 6	全港義學亦請改善
page 6	文協文通部明日舉行座談會
page 6	明末遺恨明日公映教育電影協會推薦
page 6	去年我國經港外運貨物值港幣三萬萬元較前年增加五千六百萬元多屬礦產桐油茶絲豬鬃等
page 6	一部僑校藉口增費
page 6	太平劇團將為記者公會義演新劇秦檜觀眾滿座
page 6	復旦中學
page 6	顏惠慶博士由美返國抵港逗留一周後即返渝述職將於今明日約晤新聞界
page 6	昨日得雨
page 6	春禮勞軍學界開始募捐每一學生至少應捐一角月尾結束成績必有可觀
page 6	招商局三年來之革新詳述該局整理經過由商務印書館出版航業界之史料可供關心建設者之參考
page 6	幾種營業質疑
page 7	國軍分三路出擊南南重戰香港望諸子發奮勿大意失荊州米杜息九龍巧逢雛鳳光華
page 7	全港學運籌賑會昨開籌委會議草章修竣選出各部職員現開始報名下月中止截
page 7	港圓對外匯牌昨日繼續低跌英匯申匯市況則依然穩定
page 7	股票市況扶搖直上各抵價股票買戶踴躍
page 7	港圓低跌對外貿易受影響
page 7	八九金市再度趨堅價格高漲又創紀錄
page 7	銀聯小型球賽本週秩序共有八場戰事
page 7	溫故知新錄九陳曹受薪嫌疑案
